candidate,status,matched_access_name
いわかがみ平,covered,いわかがみ平
えびの高原・韓国岳登山口,covered,えびの高原・韓国岳登山口
かいもん山麓ふれあい公園登山口,covered,かいもん山麓ふれあい公園
かいもん山麓ふれあい公園駐車場・開聞岳登山口アクセス,covered,かいもん山麓ふれあい公園駐車場・開聞岳登山口アクセス
たかすみ温泉 高見山登山口,covered,たかすみ温泉 高見山登山口
たかすみ温泉登山口,covered,たかすみ温泉登山口
つつじヶ丘,covered,つつじヶ丘登山口
つつじヶ丘登山口,covered,つつじヶ丘登山口
びわ湖バレイ ロープウェイ山頂駅,covered,びわ湖バレイロープウェイ山頂駅
びわ湖バレイ山頂駅,covered,びわ湖バレイ山頂駅
みつえ青少年旅行村 三峰山登山口,covered,みつえ青少年旅行村 三峰山登山口
みつえ青少年旅行村（三峰山登山口）,covered,みつえ青少年旅行村
わかさ氷ノ山登山口,covered,わかさ氷ノ山
アルプス平,covered,アルプス平
イン谷口,covered,イン谷口
ケーブル延暦寺駅,covered,ケーブル延暦寺駅
トムラウシ短縮コース登山口,covered,トムラウシ短縮コース登山口
ヤビツ峠,covered,ヤビツ峠
一ノ沢登山口,covered,一ノ沢登山口
七倉,covered,七倉
三ツ峠登山口,covered,三ツ峠登山口
三股登山口,covered,三股
上日川峠,covered,上日川峠
上高地,covered,上高地
中出コース登山口,covered,中出コース登山口
中山キャンプ場（中山登山口）,covered,中山キャンプ場
中房温泉登山口,covered,中房温泉登山口
中房登山口,covered,中房登山口（燕岳・大天井岳 表銀座ルート）
中房登山口（燕岳・大天井岳 表銀座ルート）,covered,中房登山口（燕岳・大天井岳 表銀座ルート）
九折登山口 傾山,covered,九折登山口 傾山
二荒山神社中宮祠登山口,covered,二荒山神社中宮祠
京極登山口,covered,京極登山口
仙酔峡登山口,covered,仙酔峡
仙酔峡駐車場・仙酔峡登山口,covered,仙酔峡駐車場・仙酔峡登山口
伊吹山 上野登山口（三之宮神社）,covered,伊吹山 上野登山口（三之宮神社）
伊奈川ダム上登山口,covered,伊奈川ダム上登山口
光石登山口,covered,光石登山口
八合目小屋 秋田駒ヶ岳,covered,八合目小屋 秋田駒ヶ岳
八島ヶ原湿原,covered,八島ヶ原湿原駐車場
八幡平見返峠・山頂レストハウス,covered,八幡平見返峠・山頂レストハウス
八方台登山口,covered,八方台
八方池山荘,covered,八方池山荘
八甲田ロープウェー山頂公園駅,covered,八甲田ロープウェー山頂公園駅
別府ロープウェイ 鶴見山上駅,covered,別府ロープウェイ鶴見山上駅
別当出合,covered,別当出合登山口
別所駐車場・英彦山登山口,covered,別所駐車場・英彦山登山口
利尻北麓野営場（鴛泊コース）,covered,利尻北麓野営場
剣山観光登山リフト 西島駅,covered,剣山観光登山リフト西島駅
剣山観光登山リフト西島駅,covered,剣山観光登山リフト西島駅
北八ヶ岳ロープウェイ山頂駅,covered,北八ヶ岳ロープウェイ山頂駅
北沢峠,covered,北沢峠
北谷登山口,covered,北谷登山口
北谷登山口駐車場・北谷登山口,covered,北谷登山口駐車場・北谷登山口
十勝岳温泉登山口,covered,十勝岳温泉
千早本道登山口,covered,千早本道登山口
千畳敷,covered,千畳敷
博労座,covered,博労座
博労座・大山寺側,covered,博労座・大山寺側
名頃登山口,covered,名頃登山口
名頃登山口 三嶺,covered,名頃登山口 三嶺
唐沢鉱泉,covered,唐沢鉱泉
国見温泉登山口,covered,国見温泉
土小屋登山口,covered,土小屋
坂本ケーブル延暦寺駅,covered,坂本ケーブル延暦寺駅
坊村 武奈ヶ岳登山口,covered,坊村 武奈ヶ岳登山口
坊村登山口,covered,坊村登山口
夏山登山口,covered,夏山登山口
夏山登山口 大山,covered,夏山登山口 大山
夏山登山道・下山駐車場,covered,夏山登山道・下山駐車場
夏山登山道・南光河原,covered,夏山登山道・南光河原
夜叉神峠登山口,covered,夜叉神峠登山口
大倉登山口,covered,大倉バス停
大台ヶ原ビジターセンター,covered,大台ヶ原ビジターセンター
大山ケーブル口・市営第二駐車場,covered,大山ケーブル口・市営第二駐車場
大弛峠,covered,大弛峠
大日杉登山口,covered,大日杉
大浪池登山口,covered,大浪池
大白川・平瀬道登山口,covered,大白川・平瀬道登山口
大谷原登山口,covered,大谷原登山口（鹿島槍ヶ岳）
大貝戸登山口,covered,大貝戸登山口
大貝戸登山口 藤原岳,covered,大貝戸登山口 藤原岳
天神平,covered,天神平
太尾登山口,covered,太尾登山口
太尾登山口 釈迦ヶ岳 奈良,covered,太尾登山口 釈迦ヶ岳 奈良
奈良田,covered,奈良田
奥岳登山口・あだたら山ロープウェイ,covered,奥岳登山口・あだたら山ロープウェイ
女乃神茶屋・蓼科山登山口,covered,女乃神茶屋・蓼科山登山口
女乃神茶屋（蓼科山登山口）,covered,女乃神茶屋
姥沢 月山リフト,covered,姥沢 月山リフト
室堂,covered,室堂
富士スバルライン五合目（吉田口）,covered,富士スバルライン五合目
富士宮口五合目,covered,富士宮口五合目
寒風山登山口,covered,寒風山登山口
小田越登山口,covered,小田越
小袖乗越・丹波山村村営駐車場,covered,小袖乗越・丹波山村村営駐車場
小赤沢三合目登山口,covered,小赤沢三合目
岩尾別温泉・木下小屋登山口,covered,岩尾別温泉・木下小屋登山口
岩木山八合目,covered,岩木山八合目
峠の茶屋・那須岳登山口,covered,峠の茶屋・那須岳登山口
川場谷野営場登山口,covered,川場谷野営場
市ノ瀬,covered,市ノ瀬
市房山キャンプ場 登山口,covered,市房山キャンプ場
市房山キャンプ場（市房山登山口アクセス起点）,covered,市房山キャンプ場
平標登山口・元橋駐車場,covered,平標登山口・元橋駐車場
広河原,covered,広河原
御在所ロープウエイ山上公園駅,covered,御在所ロープウエイ山上公園駅
御殿場口新五合目,covered,御殿場口新五合目
御池登山口,covered,御池
御沢登山口・御沢野営場,covered,御沢登山口・御沢野営場
戸台パーク（仙流荘）,covered,戸台パーク
戸隠キャンプ場・戸隠牧場,covered,戸隠キャンプ場・戸隠牧場
戸隠キャンプ場・高妻山登山者駐車場,covered,戸隠キャンプ場・高妻山登山者駐車場
戸隠奥社側登山口,covered,戸隠奥社側登山口
戸隠神社奥社登山口,covered,戸隠神社奥社登山口
扇沢登山口,covered,扇沢
折立登山口,covered,折立
新中の湯登山口,covered,新中の湯登山口
新穂高温泉,covered,新穂高温泉
日向大谷口,covered,日向大谷口
日暮沢登山口駐車場（日暮沢小屋）,covered,日暮沢登山口駐車場（日暮沢小屋）
旧寒風山トンネル南口駐車場,covered,旧寒風山トンネル南口駐車場
旭岳ロープウェイ姿見駅,covered,旭岳ロープウェイ姿見駅
旭岳ロープウェイ山麓駅,covered,旭岳ロープウェイ山麓駅
暑寒荘・暑寒別岳登山口,covered,暑寒荘・暑寒別岳登山口
月山八合目登山口,covered,月山八合目
望岳台,covered,望岳台
東の原登山口（さんべ観光リフト）,covered,東の原
枝折峠,covered,枝折峠
栂池自然園,covered,栂池自然園
桜坂登山口,covered,桜坂
椹島,covered,椹島
比羅夫登山口・半月湖畔自然公園,covered,比羅夫登山口・半月湖畔自然公園
毛木平登山口,covered,毛木平駐車場
水越峠,covered,水越峠登山口
水越峠 金剛山,covered,水越峠 金剛山
池口林道口・池口岳登山口,covered,池口林道口・池口岳登山口
池山口登山口,covered,池山口登山口
沼平ゲート,covered,沼平ゲート
浄土平,covered,浄土平
淀川登山口,covered,淀川登山口
清岳荘登山口,covered,清岳荘
温見峠,covered,温見峠
燕温泉登山口,covered,燕温泉
牧ノ戸峠,covered,牧ノ戸峠
猿倉,covered,猿倉
瑞牆山荘・富士見平口,covered,瑞牆山荘・富士見平口
