mountain,course,from,to,ct,minutes,kind,source
トムラウシ山,トムラウシ短縮コースルート,トムラウシ短縮コース登山口,トムラウシ山,5:57,357,direct,ヤマレコ・トムラウシ山 短縮コース山行計画（標準CT複数照合）
笊ヶ岳,老平ルート,笊ヶ岳,老平・笊ヶ岳登山口,5:53,353,direct,YAMAP標準モデル・笊ヶ岳（老平） 山頂→老平登山口 5時間53分
大笠山,桂湖森林公園駐車場（大笠山ルート起点）ルート,桂湖森林公園駐車場（大笠山ルート起点）,大笠山,5:51,351,direct,YAMAP大笠山モデルコース（桂湖登り口→山頂341分）＋ヤマレコ公開計画（桂湖駐車場→大笠山登山口10分）＝351分
女峰山,滝尾神社登山口ルート,滝尾神社登山口,女峰山,5:51,351,direct,ヤマレコ公開山行計画 p5549316・滝尾神社→女峰山 区間CT合算5時間51分
五竜岳,アルプス平ルート,アルプス平,五竜山荘,5:50,350,direct,白馬村公式観光サイト・モデルコース（公式区間合算）
八ヶ岳（赤岳）,美濃戸口ルート,美濃戸口,赤岳,5:50,350,direct,ヤマレコ・赤岳 美濃戸口〜赤岳 p5370686/p5481220（標準CT 約350分）
鹿島槍ヶ岳,アルプス平ルート,アルプス平,五竜山荘,5:50,350,direct,白馬村公式観光サイト・モデルコース（公式区間合算）
大無間山,田代・大無間山登山口ルート,大無間山,田代・大無間山登山口,5:40,340,estimated,推定CT（固定座標・標高差＋確認済みCT回帰）
大笠山,ブナオ峠（大笠山ルート）ルート,大笠山,ブナオ峠（大笠山ルート）,5:40,340,estimated,推定CT（固定座標・標高差＋確認済みCT回帰）
池口岳,池口林道口・池口岳登山口ルート,池口岳,池口林道口・池口岳登山口,5:40,340,estimated,推定CT（固定座標・標高差＋確認済みCT回帰）
焼山,金山登山口（小谷側）ルート,金山登山口（小谷側）,新潟焼山,5:40,340,estimated,推定CT（固定座標・標高差＋確認済みCT回帰）
男鹿岳,深山園地・塩那道路ゲートルート,男鹿岳,深山園地・塩那道路ゲート,5:40,340,estimated,推定CT（固定座標・標高差＋確認済みCT回帰）
観音岳(鳳凰),夜叉神・鳳凰三山ルート,夜叉神峠登山口,南御室小屋,5:40,340,direct,南アルプス市芦安山岳館・鳳凰山 夜叉神コース（公式区間合算）
餓鬼岳,中房登山口ルート,餓鬼岳,中房登山口,5:40,340,estimated,推定CT（固定座標・標高差＋確認済みCT回帰）
空木岳,池山尾根ルート,池山口登山口,空木岳,5:35,335,direct,YAMAP標準モデル・空木岳往復 池山尾根（空木岳登山口06:25→空木岳12:00、5時間35分）
オプタテシケ山,美瑛富士登山口ルート,オプタテシケ山,美瑛富士登山口,5:30,330,estimated,推定CT（固定座標・標高差＋確認済みCT回帰）
和名倉山（白石山）,三ノ瀬（民宿みはらし）ルート,三ノ瀬（民宿みはらし）,和名倉山（白石山）,5:30,330,estimated,推定CT（固定座標・標高差＋確認済みCT回帰）
奥茶臼山,しらびそ峠・奥茶臼山登山口ルート,奥茶臼山,しらびそ峠・奥茶臼山登山口,5:30,330,estimated,推定CT（固定座標・標高差＋確認済みCT回帰）
富士山,富士宮ルート,富士宮口五合目,富士山（剣ヶ峰）,5:30,330,direct,富士登山オフィシャルサイト2026・富士宮ルート（五合目→山頂5時間10分＋剣ヶ峰約20分）
杁差岳,奥胎内ヒュッテ（足ノ松尾根ルート起点）ルート,杁差岳,奥胎内ヒュッテ（足ノ松尾根ルート起点）,5:30,330,estimated,推定CT（固定座標・標高差＋確認済みCT回帰）
東赤石山,瀬場登山口 東赤石山ルート,瀬場登山口 東赤石山,東赤石山,5:30,330,direct,好日山荘・東赤石山（瀬場登山口→赤石山荘265分→八巻山30分→東赤石山35分＝330分）
