mountain,course,from,to,minutes,ct,kind,km,source
杁差岳,奥胎内ヒュッテ（足ノ松尾根ルート起点）ルート,奥胎内ヒュッテ（足ノ松尾根ルート起点）,杁差岳,470,7:50,direct,6.37,YAMA HACK・杁差岳 足ノ松尾根コース（奥胎内ヒュッテ→山頂 標準7時間50分、ヤマプラ参照）
ニペソツ山,幌加温泉コース登山口ルート,幌加温泉コース登山口,ニペソツ山,450,7:30,direct,8.01,公開登山ガイド・ニペソツ山 幌加温泉コース（標準CT区間合算 7時間30分）
大天井岳,中房登山口（燕岳・大天井岳 表銀座ルート）ルート,中房登山口（燕岳・大天井岳 表銀座ルート）,大天井岳,445,7:25,direct,4.98,YAMAP標準モデル・大天井岳 中房温泉→山頂（7時間25分）
飯豊山,大日杉登山口ルート,大日杉登山口,切合小屋,445,7:25,direct,4.96,ヤマレコ・飯豊連峰縦走 p5526848（大日杉登山小屋→切合小屋 445分）
オプタテシケ山,望岳台ルート,オプタテシケ山,望岳台,440,7:20,estimated,8.58,推定CT（固定座標・標高差＋確認済みCT回帰）
光岳,沼平ゲートルート,沼平ゲート,茶臼岳,440,7:20,direct,6.50,YAMAP・茶臼岳/光岳モデルコース（ゲート→茶臼岳 標準CT区間合算）
神威岳,神威山荘・神威岳登山口ルート,神威山荘・神威岳登山口,神威岳,440,7:20,direct,4.24,YAMAP標準モデル・神威山荘→神威岳（7時間20分）。別公開コースデータの参考タイム7時間10分とも近似
茶臼岳,沼平ゲートルート,沼平ゲート,茶臼岳,440,7:20,direct,7.40,YAMAP・茶臼岳/光岳モデルコース（ゲート→茶臼岳 標準CT区間合算）
トムラウシ山,トムラウシ温泉ルート,トムラウシ温泉登山口（東大雪荘）,トムラウシ山,430,7:10,estimated,7.73,推定CT（固定座標・標高差＋確認済みCT回帰）
白山,市ノ瀬ルート,市ノ瀬,白山室堂,430,7:10,direct,7.12,白山観光協会・白山禅定道 市ノ瀬→白山室堂 7時間10分
ニペソツ山,幌加温泉コース登山口ルート,ニペソツ山,幌加温泉コース登山口,420,7:00,estimated,8.01,推定CT（固定座標・標高差＋確認済みCT回帰）
大無間山,田代・大無間山登山口ルート,田代・大無間山登山口,大無間山,420,7:00,estimated,6.58,推定CT（固定座標・標高差＋確認済みCT回帰）
富士山,須走口五合目ルート,須走口五合目,富士山（剣ヶ峰）,420,7:00,direct,4.53,富士登山オフィシャルサイト・須走ルート 登り約7時間
笠ヶ岳（岐阜）,新穂高温泉・笠新道ルート,笠新道登山口,笠ヶ岳山荘,420,7:00,direct,3.49,笠新道登山口案内板・笠ヶ岳山荘まで約7時間
荒川岳,椹島・千枚小屋ルート,椹島,千枚小屋,420,7:00,direct,7.23,静岡市公式・南アルプス南部モデルコース
赤石岳,椹島ルート,椹島,千枚小屋,420,7:00,direct,7.23,静岡市公式・南アルプス南部モデルコース
雪倉岳,蓮華温泉ルート,蓮華温泉,雪倉岳,420,7:00,direct,3.64,山と溪谷オンライン・雪倉岳（蓮華温泉から約7時間）
朝日岳（新潟・富山）,蓮華温泉ルート,蓮華温泉,朝日岳（新潟・富山）,419,6:59,direct,7.26,YAMAP標準モデル・蓮華温泉駐車場→朝日岳（6時間59分）
幌尻岳,イドンナップ山荘駐車場（新冠陽希コース）ルート,イドンナップ山荘駐車場（新冠陽希コース）,新冠ポロシリ山荘,417,6:57,direct,8.38,YAMAP標準モデル・イドンナップ山荘登山口→奥新冠ダム/新冠ポロシリ山荘 6時間57分
笠ヶ岳（岐阜）,新穂高温泉・笠新道ルート,笠ヶ岳（岐阜）,新穂高温泉,412,6:52,direct,4.01,YAMAP標準モデル・新穂高温泉〜笠新道〜笠ヶ岳往復の下山区間 6時間52分
