"category","mountain","hyakumeizan","course_or_relation","from","to","minutes","ct","mode","distance_km","via","source"
"representative","カムイエクウチカウシ山","no","札内川ヒュッテ駐車場ルート","札内川ヒュッテ駐車場","カムイエクウチカウシ山","560","9:20","direct","","","YAMAP標準モデル・駐車場→札内川七ノ沢分岐→八ノ沢分岐→八ノ沢カール→山頂（9時間20分）"
"representative","カムイエクウチカウシ山","no","札内川ヒュッテ駐車場ルート","カムイエクウチカウシ山","札内川ヒュッテ駐車場","510","8:30","estimated","","","推定CT（固定座標・標高差＋確認済みCT回帰）"
"representative","笊ヶ岳","no","老平ルート","老平・笊ヶ岳登山口","布引山（千挺木山）","535","8:55","direct","","","YAMAP 笊ヶ岳（老平）モデル・老平登山口04:03→布引山12:58 8時間55分"
"mountain_hut_pair","鹿島槍ヶ岳","yes","hut-trailhead","種池山荘","大谷原登山口","531","8:51","composed","6.03","冷池山荘 → 鹿島槍ヶ岳","確認済み固定CT（複数公開資料・区間合算・代表経路採用）"
"mountain_hut_pair","鹿島槍ヶ岳","yes","trailhead-hut","大谷原登山口","冷池山荘","556","9:16","composed","4.61","鹿島槍ヶ岳","確認済み固定CT（複数公開資料・区間合算・代表経路採用）"
"mountain_hut_pair","笠ヶ岳（岐阜）","yes","hut-peak","わさび平小屋","笠ヶ岳（岐阜）","590","9:50","composed","3.88","鏡平山荘 → 笠ヶ岳山荘","確認済み固定CT（複数公開資料・区間合算・代表経路採用）"
"mountain_hut_pair","笠ヶ岳（岐阜）","yes","hut-peak","わさび平小屋","笠ヶ岳","590","9:50","composed","3.88","鏡平山荘 → 笠ヶ岳山荘","確認済み固定CT（複数公開資料・区間合算・代表経路採用）"
"mountain_hut_pair","大天井岳","no","trailhead-hut","中房登山口（燕岳・大天井岳 表銀座ルート）","大天井ヒュッテ","574","9:34","composed","5.53","合戦小屋 → 燕山荘 → 大天荘","確認済み固定CT（複数公開資料・区間合算・代表経路採用）"
"mountain_hut_pair","槍ヶ岳","yes","trailhead-hut","新穂高温泉","槍ヶ岳山荘","510","8:30","composed","8.85","槍平小屋","北アルプス山小屋友交会（確認済み区間合算・代表経路採用）"
"mountain_hut_pair","槍ヶ岳","yes","trailhead-hut","上高地","槍ヶ岳山荘","540","9:00","composed","10.53","槍沢ロッヂ","北アルプス山小屋友交会（確認済み区間合算・代表経路採用）"
"mountain_hut_pair","槍ヶ岳","yes","trailhead-hut","新穂高温泉","ヒュッテ大槍","565","9:25","composed","9.25","槍平小屋 → 槍ヶ岳山荘","確認済み固定CT（複数公開資料・区間合算・代表経路採用）"
"mountain_hut_pair","槍ヶ岳","yes","trailhead-hut","上高地","ヒュッテ大槍","595","9:55","composed","10.32","槍沢ロッヂ → 槍ヶ岳山荘","確認済み固定CT（複数公開資料・区間合算・代表経路採用）"
"mountain_hut_pair","槍ヶ岳","yes","hut-trailhead","ヒュッテ大槍","上高地","501","8:21","composed","10.32","槍ヶ岳山荘 → 槍沢ロッヂ","確認済み固定CT（複数公開資料・区間合算・代表経路採用）"
"mountain_hut_pair","奥穂高岳","yes","trailhead-hut","上高地","穂高岳山荘","520","8:40","composed","5.5","横尾 → 涸沢ヒュッテ","確認済み固定CT（複数公開資料・区間合算・代表経路採用）"
"mountain_hut_pair","富士山","yes","trailhead-hut","富士スバルライン五合目（吉田口）","わらじ館","483","8:03","composed","4.76","富士山（剣ヶ峰）","確認済み固定CT（複数公開資料・区間合算・代表経路採用）"
"mountain_hut_pair","富士山","yes","trailhead-hut","須走口五合目","わらじ館","533","8:53","composed","3.39","富士山（剣ヶ峰）","確認済み固定CT（複数公開資料・区間合算・代表経路採用）"
"mountain_hut_pair","間ノ岳","yes","hut-trailhead","熊ノ平小屋","広河原","575","9:35","composed","8.61","間ノ岳 → 北岳山荘 → 北岳 → 北岳肩の小屋 → 白根御池小屋","南アルプス市芦安山岳館（確認済み区間合算・代表経路採用）"
"mountain_hut_pair","白山","yes","trailhead-hut","市ノ瀬","白山室堂","500","8:20","composed","7.12","白山（御前峰）","確認済み固定CT（複数公開資料・区間合算・代表経路採用）"
