mountain,course,from,to,generated
"利尻山","沓形登山口ルート","沓形登山口","利尻山","1"
"羅臼岳","羅臼温泉登山口ルート","羅臼温泉登山口","羅臼岳","1"
"斜里岳","清岳荘登山口ルート","清岳荘登山口","斜里岳","1"
"オプタテシケ山","美瑛富士登山口ルート","美瑛富士登山口","オプタテシケ山","1"
"オプタテシケ山","望岳台ルート","望岳台","オプタテシケ山","1"
"十勝岳","吹上温泉登山口ルート","吹上温泉登山口","十勝岳","1"
"ニペソツ山","幌加温泉コース登山口ルート","幌加温泉コース登山口","ニペソツ山","1"
"幌尻岳","とよぬか山荘・シャトルバス乗り場ルート","とよぬか山荘・シャトルバス乗り場","幌尻岳","1"
"カムイエクウチカウシ山","札内川ヒュッテ駐車場ルート","札内川ヒュッテ駐車場","カムイエクウチカウシ山","1"
"ペテガリ岳","神威山荘（ペテガリ岳アプローチ起点）ルート","神威山荘（ペテガリ岳アプローチ起点）","ペテガリ岳","1"
"神威岳","神威山荘・神威岳登山口ルート","神威山荘・神威岳登山口","神威岳","1"
"芦別岳","新道登山口ルート","新道登山口","芦別岳","1"
"芦別岳","山部自然公園太陽の里 芦別岳登山口ルート","山部自然公園太陽の里 芦別岳登山口","芦別岳","1"
"余市岳","キロロリゾート・赤井川コース入口ルート","キロロリゾート・赤井川コース入口","余市岳","1"
"後方羊蹄山","京極登山口ルート","京極登山口","後方羊蹄山（羊蹄山）","1"
"渡島駒ヶ岳","赤井川登山口・6合目駐車場ルート","赤井川登山口・6合目駐車場","渡島駒ヶ岳（剣ヶ峯）","1"
"大千軒岳","奥二股登山口駐車場ルート","奥二股登山口駐車場","大千軒岳","1"
"八甲田山","八甲田ロープウェー山頂公園駅ルート","八甲田ロープウェー山頂公園駅","八甲田山（大岳）","1"
"乳頭山（烏帽子岳）","滝ノ上温泉・乳頭山登山口ルート","滝ノ上温泉・乳頭山登山口","乳頭山（烏帽子岳）","1"
"乳頭山（烏帽子岳）","黒湯温泉ルート","黒湯温泉","乳頭山（烏帽子岳）","1"
"岩手山","御神坂登山口ルート","御神坂登山口","岩手山","1"
"岩手山","馬返し登山口ルート","馬返し登山口","岩手山","1"
"姫神山","一本杉登山口ルート","一本杉登山口","姫神山","1"
"五葉山","赤坂峠登山口ルート","赤坂峠登山口","五葉山","1"
"和賀岳","甘露水口・薬師岳登山口駐車場ルート","甘露水口・薬師岳登山口駐車場","和賀岳","1"
"栗駒山","須川高原温泉ルート","須川高原温泉","栗駒山","1"
"森吉山","阿仁ゴンドラ山麓駅ルート","阿仁ゴンドラ山麓駅","森吉山","1"
"森吉山","ブナ帯登山口ルート","ブナ帯登山口","森吉山","1"
"太平山","旭又登山口ルート","旭又登山口","太平山","1"
"鳥海山","湯ノ台口登山口ルート","湯ノ台口登山口","鳥海山（新山）","1"
"月山","姥沢 月山リフトルート","姥沢 月山リフト","月山","1"
"摩耶山","越沢口ルート","越沢口","摩耶山","1"
"以東岳","泡滝ダム・大鳥登山口ルート","泡滝ダム・大鳥登山口","以東岳","1"
"大朝日岳","日暮沢登山口駐車場（日暮沢小屋）ルート","日暮沢登山口駐車場（日暮沢小屋）","大朝日岳","1"
"船形山","大滝キャンプ場・船形山登山口ルート","大滝キャンプ場・船形山登山口","船形山（御所山）","1"
"泉ヶ岳","泉ヶ岳大駐車場ルート","泉ヶ岳大駐車場","泉ヶ岳","1"
"飯豊山","大日杉登山口ルート","大日杉登山口","飯豊山","1"
"西吾妻山","天元台ロープウェイ湯元駅ルート","天元台ロープウェイ湯元駅","西吾妻山","1"
"磐梯山","猪苗代登山口（猪苗代スキー場）ルート","猪苗代登山口（猪苗代スキー場）","磐梯山","1"
"七ヶ岳","会津高原たかつえスキー場・七ヶ岳登山口ルート","会津高原たかつえスキー場・七ヶ岳登山口","七ヶ岳","1"
"荒海山","八総鉱山跡・荒海山登山駐車場ルート","八総鉱山跡・荒海山登山駐車場","荒海山（太郎岳）","1"
"会津朝日岳","赤倉沢登山口ルート","赤倉沢登山口","会津朝日岳","1"
"燧ヶ岳","御池登山口ルート","御池登山口","燧ヶ岳（柴安嵓）","1"
"燧ヶ岳","小沢平登山口ルート","小沢平登山口","燧ヶ岳（柴安嵓）","1"
"大滝根山","高塚高原キャンプ場駐車場ルート","高塚高原キャンプ場駐車場","大滝根山","1"
"杁差岳","奥胎内ヒュッテ（足ノ松尾根ルート起点）ルート","奥胎内ヒュッテ（足ノ松尾根ルート起点）","杁差岳","1"
"八海山","八海山スキー場・ロープウェー山麓駅ルート","八海山スキー場・ロープウェー山麓駅","八海山（入道岳）","1"
"八溝山","日輪寺・八溝山登山口ルート","日輪寺・八溝山登山口","八溝山","1"
"筑波山","つつじヶ丘ルート","つつじヶ丘","筑波山（女体山）","1"
"三本槍岳","峠の茶屋・那須岳登山口ルート","峠の茶屋・那須岳登山口","三本槍岳","1"
"三本槍岳","那須ロープウェイ・峠の茶屋側ルート","那須ロープウェイ・峠の茶屋側","三本槍岳","1"
"男鹿岳","深山園地・塩那道路ゲートルート","深山園地・塩那道路ゲート","男鹿岳","1"
"景鶴山","鳩待峠（尾瀬側起点）ルート","鳩待峠（尾瀬側起点）","景鶴山","1"
"釈迦ヶ岳（栃木）","八方ヶ原・大間々台登山口ルート","八方ヶ原・大間々台登山口","高原山・釈迦ヶ岳","1"
"女峰山","滝尾神社登山口ルート","滝尾神社登山口","女峰山","1"
"奥白根山","丸沼高原・日光白根山ロープウェイルート","丸沼高原・日光白根山ロープウェイ","奥白根山（日光白根山）","1"
"皇海山","銀山平・皇海山登山者駐車場ルート","銀山平・皇海山登山者駐車場","皇海山","1"
"袈裟丸山","折場登山口ルート","折場登山口","袈裟丸山","1"
"草津白根山","白根火山・湯釜側起点ルート","白根火山・湯釜側起点","草津白根山（白根山）","1"
"妙義山（相馬岳）","妙義神社入口・登山者駐車場ルート","妙義神社入口・登山者駐車場","妙義山（相馬岳）","1"
"諏訪山","楢原・樽原登山口ルート","楢原・樽原登山口","諏訪山（上野村）","1"
"諏訪山","浜平登山口ルート","浜平登山口","諏訪山（上野村）","1"
"朝日岳（群馬）","湯檜曽公園・白毛門登山口側ルート","湯檜曽公園・白毛門登山口側","朝日岳（群馬）","1"
"谷川岳","天神平ルート","天神平","谷川岳（オキノ耳）","1"
"仙ノ倉山","平標登山口・元橋駐車場ルート","平標登山口・元橋駐車場","仙ノ倉山","1"
"白砂山","野反湖・白砂山登山口ルート","野反湖・白砂山登山口","白砂山","1"
"横手山","渋峠ルート","渋峠","横手山","1"
"岩菅山","聖平登山口ルート","聖平登山口","岩菅山","1"
"笠ヶ岳（長野）","笠岳峠・笠ヶ岳登山口ルート","笠岳峠・笠ヶ岳登山口","笠ヶ岳（長野）","1"
"浅間山","高峰高原・車坂峠ルート","高峰高原・車坂峠","浅間山","1"
"御座山","長者の森登山口ルート","長者の森登山口","御座山","1"
"御座山","栗生登山口ルート","栗生登山口","御座山","1"
"八ヶ岳（赤岳）","美濃戸口ルート","美濃戸口","赤岳","1"
"美ヶ原","山本小屋ふる里館・町営駐車場ルート","山本小屋ふる里館・町営駐車場","美ヶ原（王ヶ頭）","1"
"美ヶ原","三城いこいの広場ルート","三城いこいの広場","美ヶ原（王ヶ頭）","1"
"黒姫山","大橋林道口・黒姫山登山口ルート","大橋林道口・黒姫山登山口","黒姫山","1"
"斑尾山","斑尾高原ビジターセンター（山の家）ルート","斑尾高原ビジターセンター（山の家）","斑尾山","1"
"斑尾山","斑尾高原スキー場ルート","斑尾高原スキー場","斑尾山","1"
"焼山","焼山林道第2ゲート（焼山ルート起点）ルート","焼山林道第2ゲート（焼山ルート起点）","新潟焼山","1"
"焼山","金山登山口（小谷側）ルート","金山登山口（小谷側）","新潟焼山","1"
"青海黒姫山","清水倉登山口ルート","清水倉登山口","青海黒姫山","1"
"朝日岳（新潟・富山）","蓮華温泉ルート","蓮華温泉","朝日岳（新潟・富山）","1"
"雪倉岳","蓮華温泉ルート","蓮華温泉","雪倉岳","1"
"爺ヶ岳","扇沢登山口ルート","扇沢登山口","爺ヶ岳","1"
"針ノ木岳","扇沢登山口ルート","扇沢登山口","針ノ木岳","1"
"毛勝山","片貝登山口（東又第五発電所登山口）ルート","片貝登山口（東又第五発電所登山口）","毛勝山","1"
"奥大日岳","室堂ルート","室堂","奥大日岳","1"
"鍬崎山","あわすのスキー場・鍬崎山登山口ルート","あわすのスキー場・鍬崎山登山口","鍬崎山","1"
"烏帽子岳","高瀬ダムルート","高瀬ダム","烏帽子岳","1"
"水晶岳（黒岳）","折立登山口ルート","折立登山口","水晶岳（黒岳）","1"
"鷲羽岳","折立登山口ルート","折立登山口","鷲羽岳","1"
"赤牛岳","折立登山口ルート","折立登山口","赤牛岳","1"
"笠ヶ岳（岐阜）","新穂高温泉ルート","新穂高温泉","笠ヶ岳（岐阜）","1"
"笠ヶ岳（岐阜）","笠新道登山口ルート","笠新道登山口","笠ヶ岳（岐阜）","1"
"餓鬼岳","中房登山口ルート","中房登山口","餓鬼岳","1"
"有明山","中房登山口ルート","中房登山口","有明山","1"
"大天井岳","中房登山口（燕岳・大天井岳 表銀座ルート）ルート","中房登山口（燕岳・大天井岳 表銀座ルート）","大天井岳","1"
"焼岳","新中の湯登山口ルート","新中の湯登山口","焼岳","1"
"霞沢岳","上高地ルート","上高地","霞沢岳","1"
"鉢盛山","鉢盛坂新道口ルート","鉢盛坂新道口","鉢盛山","1"
"乗鞍岳","畳平バスターミナルルート","畳平バスターミナル","乗鞍岳","1"
"乗鞍岳","乗鞍高原観光センター・シャトルバス乗り場ルート","乗鞍高原観光センター・シャトルバス乗り場","乗鞍岳","1"
"御嶽","中の湯登山口（黒沢口）ルート","中の湯登山口（黒沢口）","御嶽山（剣ヶ峰）","1"
"南駒ヶ岳","伊奈川ダム上登山口ルート","伊奈川ダム上登山口","南駒ヶ岳","1"
"越百山","伊奈川ダム上登山口ルート","伊奈川ダム上登山口","越百山","1"
"安平路山","摺古木自然園入口ルート","摺古木自然園入口","安平路山","1"
"安平路山","大平宿（林道規制時起点）ルート","大平宿（林道規制時起点）","安平路山","1"
"南木曽岳","蘭登山口ルート","蘭登山口","南木曽岳","1"
"和名倉山（白石山）","三ノ瀬（民宿みはらし）ルート","三ノ瀬（民宿みはらし）","和名倉山（白石山）","1"
"大岳山","白倉・大嶽神社里宮登山口ルート","白倉・大嶽神社里宮登山口","大岳山","1"
"三頭山","山のふるさと村登山口ルート","山のふるさと村登山口","三頭山","1"
"箱根山","大涌谷登山口ルート","大涌谷登山口","箱根山","1"
"天城山（万三郎岳）","天城高原ハイカー専用駐車場ルート","天城高原ハイカー専用駐車場","天城山（万三郎岳）","1"
"毛無山","麓・毛無山登山口ルート","麓・毛無山登山口","毛無山","1"
"七面山","羽衣・七面山表参道駐車場ルート","羽衣・七面山表参道駐車場","七面山","1"
"櫛形山","池ノ茶屋登山口ルート","池ノ茶屋登山口","櫛形山","1"
"三ッ峠山","西桂口ルート","西桂口","三ッ峠山","1"
"黒岳","新御坂トンネル御坂口駐車場（御坂黒岳ルート）ルート","新御坂トンネル御坂口駐車場（御坂黒岳ルート）","黒岳（御坂黒岳）","1"
"富士山","富士スバルライン五合目（吉田口）ルート","富士スバルライン五合目（吉田口）","富士山（剣ヶ峰）","1"
"富士山","須走口五合目ルート","須走口五合目","富士山（剣ヶ峰）","1"
"鋸岳","北沢峠ルート","北沢峠","鋸岳","1"
"アサヨ峰","北沢峠ルート","北沢峠","アサヨ峰","1"
"聖岳","椹島ルート","椹島","聖岳","1"
"上河内岳","沼平ゲートルート","沼平ゲート","上河内岳","1"
"茶臼岳","沼平ゲートルート","沼平ゲート","茶臼岳","1"
"光岳","沼平ゲートルート","沼平ゲート","光岳","1"
"池口岳","池口林道口・池口岳登山口ルート","池口林道口・池口岳登山口","池口岳","1"
"奥茶臼山","しらびそ峠・奥茶臼山登山口ルート","しらびそ峠・奥茶臼山登山口","奥茶臼山","1"
"大無間山","田代・大無間山登山口ルート","田代・大無間山登山口","大無間山","1"
"黒法師岳","戸中山林道ゲートルート","戸中山林道ゲート","黒法師岳","1"
"笊ヶ岳","老平・笊ヶ岳登山口ルート","老平・笊ヶ岳登山口","笊ヶ岳","1"
"高塚山","山犬段・高塚山登山口ルート","山犬段・高塚山登山口","高塚山","1"
"熊伏山","青崩峠入口・熊伏山登山口ルート","青崩峠入口・熊伏山登山口","熊伏山","1"
"医王山","医王の里登山者用駐車場ルート","医王の里登山者用駐車場","医王山（奥医王山）","1"
"大笠山","桂湖森林公園駐車場（大笠山ルート起点）ルート","桂湖森林公園駐車場（大笠山ルート起点）","大笠山","1"
"大笠山","ブナオ峠（大笠山ルート）ルート","ブナオ峠（大笠山ルート）","大笠山","1"
"笈ヶ岳","中宮温泉ビジターセンター（笈ヶ岳ルート起点）ルート","中宮温泉ビジターセンター（笈ヶ岳ルート起点）","笈ヶ岳","1"
"三方岩岳","三方岩駐車場ルート","三方岩駐車場","三方岩岳","1"
"猿ヶ馬場山","村営せせらぎ公園駐車場（猿ヶ馬場山残雪期ルート起点）ルート","村営せせらぎ公園駐車場（猿ヶ馬場山残雪期ルート起点）","猿ヶ馬場山","1"
"白山","市ノ瀬ルート","市ノ瀬","白山（御前峰）","1"
"野伏ヶ岳","白山中居神社（野伏ヶ岳残雪期ルート起点）ルート","白山中居神社（野伏ヶ岳残雪期ルート起点）","野伏ヶ岳","1"
"伊吹山","伊吹山 上野登山口（三之宮神社）ルート","伊吹山 上野登山口（三之宮神社）","伊吹山","1"
"伊吹山","伊吹山ドライブウェイ山頂駐車場ルート","伊吹山ドライブウェイ山頂駐車場","伊吹山","1"
"藤原岳","大貝戸登山口 藤原岳ルート","大貝戸登山口 藤原岳","藤原岳","1"
"藤原岳","孫太尾根登山口ルート","孫太尾根登山口","藤原岳","1"
"御在所岳","中登山道口 御在所岳ルート","中登山道口 御在所岳","御在所岳","1"
"御在所岳","武平峠登山口ルート","武平峠登山口","御在所岳","1"
"倶留尊山","曽爾高原 倶留尊山登山口ルート","曽爾高原 倶留尊山登山口","倶留尊山","1"
"三峰山","みつえ青少年旅行村 三峰山登山口ルート","みつえ青少年旅行村 三峰山登山口","三峰山","1"
"日出ヶ岳","大台ヶ原ビジターセンタールート","大台ヶ原ビジターセンター","日出ヶ岳","1"
"竜門岳","竜門岳登山口 吉野ルート","竜門岳登山口 吉野","竜門岳","1"
"山上ヶ岳","清浄大橋 大峯山登山口ルート","清浄大橋 大峯山登山口","山上ヶ岳","1"
"釈迦ヶ岳（奈良）","太尾登山口 釈迦ヶ岳 奈良ルート","太尾登山口 釈迦ヶ岳 奈良","釈迦ヶ岳（奈良）","1"
"伯母子岳","大股登山口 伯母子岳ルート","大股登山口 伯母子岳","伯母子岳","1"
"護摩壇山","護摩壇山森林公園ワイルドライフルート","護摩壇山森林公園ワイルドライフ","護摩壇山","1"
"金剛山","千早本道登山口ルート","千早本道登山口","金剛山","1"
"金剛山","水越峠 金剛山ルート","水越峠 金剛山","金剛山","1"
