mountain,course,from,to,previous_estimated_minutes
羅臼岳,羅臼温泉登山口ルート,羅臼温泉登山口,羅臼岳,370
後方羊蹄山,京極登山口ルート,京極登山口,後方羊蹄山（羊蹄山）,330
八甲田山,八甲田ロープウェー山頂公園駅ルート,八甲田ロープウェー山頂公園駅,八甲田山（大岳）,120
岩手山,馬返し登山口ルート,馬返し登山口,岩手山,310
姫神山,一本杉登山口ルート,一本杉登山口,姫神山,140
五葉山,赤坂峠登山口ルート,赤坂峠登山口,五葉山,180
栗駒山,須川高原温泉ルート,須川高原温泉,栗駒山,150
磐梯山,猪苗代登山口（猪苗代スキー場）ルート,猪苗代登山口（猪苗代スキー場）,磐梯山,260
燧ヶ岳,御池登山口ルート,御池登山口,燧ヶ岳（柴安嵓）,230
筑波山,つつじヶ丘ルート,つつじヶ丘,筑波山（女体山）,90
谷川岳,天神平ルート,天神平,谷川岳（オキノ耳）,170
乗鞍岳,畳平バスターミナルルート,畳平バスターミナル,乗鞍岳,110
藤原岳,大貝戸登山口 藤原岳ルート,大貝戸登山口 藤原岳,藤原岳,210
三峰山,みつえ青少年旅行村 三峰山登山口ルート,みつえ青少年旅行村 三峰山登山口,三峰山,180
道後山,月見ヶ丘登山口駐車場 道後山ルート,月見ヶ丘登山口駐車場 道後山,道後山,80
開聞岳,かいもん山麓ふれあい公園駐車場・開聞岳登山口アクセスルート,かいもん山麓ふれあい公園駐車場・開聞岳登山口アクセス,開聞岳,170
宮ノ浦岳,淀川登山口ルート,淀川登山口,宮ノ浦岳,230
