mountain,from,to,minutes_up,source,url
十勝岳,吹上温泉登山口,十勝岳,267,ヤマレコ p5503284,https://www.yamareco.com/modules/yr_plan/detail-5503284.html
月山,姥沢 月山リフト,月山,208,ヤマレコ p5524588 / p5239593,https://www.yamareco.com/modules/yr_plan/detail-5524588.html
三本槍岳,峠の茶屋・那須岳登山口,三本槍岳,172,ヤマレコ p5532010 / p5524672,https://www.yamareco.com/modules/yr_plan/detail-5532010.html
白砂山,野反湖・白砂山登山口,白砂山,249,ヤマレコ p5542380 / p5468873,https://www.yamareco.com/modules/yr_plan/detail-5542380.html
御座山,栗生登山口,御座山,169,ヤマレコ p5464090 / p5549270,https://www.yamareco.com/modules/yr_plan/detail-5464090.html
奥大日岳,室堂,奥大日岳,170,ヤマレコ p5846483,https://www.yamareco.com/modules/yr_plan/detail-5846483.html
横手山,渋峠,横手山,19,ヤマレコ p5545812 / p5522422,https://www.yamareco.com/modules/yr_plan/detail-5545812.html
八溝山,日輪寺・八溝山登山口,八溝山,50,ヤマレコ p5505702,https://www.yamareco.com/modules/yr_plan/detail-5505702.html
岩菅山,聖平登山口,岩菅山,194,ヤマレコ p5368403,https://www.yamareco.com/modules/yr_plan/detail-5368403.html
袈裟丸山,折場登山口,袈裟丸山,222,ヤマレコ p5458221 / p5457895,https://www.yamareco.com/modules/yr_plan/detail-5458221.html
