mountain,course,from,to,old_estimated_minutes,verified_minutes,source
黒姫山,大橋林道口・黒姫山登山口ルート,大橋林道口・黒姫山登山口,黒姫山,260,213,YAMAP・黒姫山（大橋登山口）モデルコース
爺ヶ岳,扇沢登山口ルート,扇沢登山口,爺ヶ岳,300,372,YAMAP・柏原新道登山口〜爺ヶ岳モデルコース
針ノ木岳,扇沢登山口ルート,扇沢登山口,針ノ木岳,310,398,YAMAP・針ノ木岳往復モデルコース
烏帽子岳,高瀬ダムルート,高瀬ダム,烏帽子岳,300,380,山と高原地図系標準CT
七面山,羽衣・七面山表参道駐車場ルート,羽衣・七面山表参道駐車場,七面山,310,311,YAMAP・七面山表参道モデルコース
山上ヶ岳,清浄大橋 大峯山登山口ルート,清浄大橋 大峯山登山口,山上ヶ岳,200,236,ヤマレコ公開山行計画・区間合算
武奈ヶ岳,イン谷口ルート,イン谷口,武奈ヶ岳,250,205,YAMAP・金糞峠〜コヤマノ岳〜武奈ヶ岳モデルコース
鶴見岳,火男火売神社登山口駐車場ルート,火男火売神社登山口駐車場,鶴見岳,150,140,YAMAP・火男火売神社〜鶴見岳モデルコース
多良岳,中山キャンプ場（中山登山口）ルート,中山キャンプ場（中山登山口）,多良岳,100,102,YAMAP・多良岳往復モデルコース
六甲山,有馬温泉 六甲山登山口ルート,有馬温泉 六甲山登山口,六甲山,150,110,YAMAP・六甲越〜六甲山往復モデルコース
