mountain,from,to,minutes,status
針ノ木岳,針ノ木岳,扇沢登山口,230,verified_public_standard
蓮華岳,蓮華岳,扇沢登山口,255,verified_public_standard
烏帽子岳,烏帽子岳,高瀬ダム,164,verified_public_standard
水晶岳（黒岳）,水晶岳（黒岳）,折立登山口,680,verified_public_standard
赤牛岳,折立登山口,赤牛岳,960,verified_public_standard
笠ヶ岳（岐阜）,笠ヶ岳（岐阜）,新穂高温泉,412,verified_public_standard
乗鞍岳,乗鞍岳,畳平バスターミナル,70,verified_public_standard
御嶽,御嶽山（剣ヶ峰）,中の湯登山口（黒沢口）,170,verified_public_standard
富士山,富士山（剣ヶ峰）,富士スバルライン五合目（吉田口）,240,verified_public_standard
富士山,富士山（剣ヶ峰）,須走口五合目,245,verified_public_standard
白山,白山（御前峰）,市ノ瀬,330,verified_public_standard
伊吹山,伊吹山,伊吹山ドライブウェイ山頂駐車場,20,verified_public_standard
藤原岳,藤原岳,孫太尾根登山口,150,verified_public_standard
御在所岳,御在所岳,中登山道口 御在所岳,90,verified_public_standard
御在所岳,御在所岳,武平峠登山口,70,verified_public_standard
日出ヶ岳,日出ヶ岳,大台ヶ原ビジターセンター,28,verified_public_standard
山上ヶ岳,山上ヶ岳,清浄大橋 大峯山登山口,120,verified_public_standard
釈迦ヶ岳（奈良）,釈迦ヶ岳（奈良）,太尾登山口 釈迦ヶ岳 奈良,105,verified_public_standard
金剛山,金剛山,千早本道登山口,99,verified_public_standard
金剛山,金剛山,水越峠 金剛山,106,verified_public_standard
武奈ヶ岳,武奈ヶ岳,イン谷口,161,verified_public_standard
大山（鳥取）,大山（弥山）,夏山登山口 大山,150,verified_public_standard
大山（鳥取）,大山（弥山）,博労座,165,verified_public_standard
吾妻山,吾妻山,吾妻山キャンプ場駐車場,42,verified_public_standard
伊予富士,伊予富士,寒風山登山口,150,verified_public_standard
瓶ヶ森,瓶ヶ森,瓶ヶ森駐車場,35,verified_public_standard
英彦山,英彦山,別所駐車場・英彦山登山口,132,verified_public_standard
英彦山,英彦山,豊前坊・高住神社登山口,114,verified_public_standard
多良岳,多良岳,黒木第2駐車場・黒木登山口,119,verified_public_standard
多良岳,多良岳,中山キャンプ場（中山登山口）,71,verified_public_standard
祖母山,祖母山,神原登山口,175,verified_public_standard
傾山,傾山,九折登山口 傾山,253,verified_public_standard
大崩山,大崩山,祝子川 大崩山登山口,200,verified_public_standard
霧島山（韓国岳）,霧島山（韓国岳）,大浪池登山口,89,verified_public_standard
笊ヶ岳,笊ヶ岳,老平・笊ヶ岳登山口,353,verified_public_standard
