mountain,course,from,to,minutes,source
秋田駒ヶ岳,八合目小屋 秋田駒ヶ岳ルート,秋田駒ヶ岳（男女岳）,八合目小屋 秋田駒ヶ岳,69,YAMAP標準モデル・秋田駒ヶ岳 八合目往復
粟ヶ岳,粟ヶ岳中央（県民休養地）ルート,粟ヶ岳,粟ヶ岳中央登山口（県民休養地）,180,YAMAP標準モデル・粟ヶ岳中央コース
守門岳,二口ルート,守門岳,二口登山口,170,YAMAP標準モデル・守門岳 二口往復
筑波山,筑波山神社・御幸ヶ原ルート,筑波山神社入口,筑波山（女体山）,166,YAMAP標準モデル・筑波山神社-筑波山
筑波山,筑波山神社・御幸ヶ原ルート,筑波山（女体山）,筑波山神社入口,111,YAMAP標準モデル・御幸ヶ原/白雲橋周回
仙ノ倉山,平標登山口・元橋駐車場ルート,仙ノ倉山,平標登山口・元橋駐車場,205,YAMAP標準モデル・平標山登山口-仙ノ倉山
御座山,長者の森登山口ルート,御座山,長者の森登山口,175,YAMAP標準モデル・長者の森-御座山往復
黒姫山,大橋林道口・黒姫山登山口ルート,黒姫山,大橋林道口・黒姫山登山口,153,YAMAP標準モデル・大橋-黒姫山往復
位山,モンデウス飛騨位山ルート,モンデウス飛騨位山,位山,158,YAMAP標準モデル・モンデウス飛騨位山-位山
位山,モンデウス飛騨位山ルート,位山,モンデウス飛騨位山,109,YAMAP標準モデル・モンデウス飛騨位山-位山
伯母子岳,大股登山口 伯母子岳ルート,伯母子岳,大股登山口 伯母子岳,175,YAMAP標準モデル・大股-伯母子岳往復
扇ノ山,河合谷高原 扇ノ山登山口ルート,扇ノ山,河合谷高原 扇ノ山登山口,75,YAMAP標準モデル・河合谷コース
扇ノ山,姫路公園登山口ルート,扇ノ山,姫路公園登山口,50,YAMAP標準モデル・姫路コース
氷ノ山,わかさ氷ノ山登山口ルート,氷ノ山,わかさ氷ノ山登山口,95,YAMAP標準モデル・わかさ氷ノ山側往復
那岐山,蛇淵の滝 那岐山登山口ルート,那岐山,蛇淵の滝 那岐山登山口,110,YAMAP標準モデル・那岐山往復
笹ヶ峰,下津池 笹ヶ峰登山口ルート,笹ヶ峰,下津池 笹ヶ峰登山口,106,YAMAP標準モデル・笹ヶ峰往復
篠山,篠山登山口 愛媛高知ルート,篠山,篠山登山口 愛媛高知,40,YAMAP標準モデル・篠山往復
脊振山,脊振山山頂駐車場ルート,脊振山,脊振山山頂駐車場,1,YAMAP標準モデル・脊振山往復
大船山,長者原ルート,長者原,大船山,309,YAMAP標準モデル・長者原-大船山往復
大船山,長者原ルート,大船山,長者原,229,YAMAP標準モデル・長者原-大船山往復
