priority,mountain,representative_route,effective_points,roundtrip_ct_min,status,route_points
A,越後駒ヶ岳,枝折峠ルート,3,690,OK,枝折峠 -> 越後駒ヶ岳 -> 枝折峠
A,平ヶ岳,鷹ノ巣・平ヶ岳ルート,3,630,OK,鷹ノ巣・平ヶ岳登山口 -> 平ヶ岳 -> 鷹ノ巣・平ヶ岳登山口
A,利尻山,沓形登山口ルート,3,600,OK,沓形登山口 -> 利尻山 -> 沓形登山口
A,トムラウシ山,トムラウシ短縮コースルート,3,599,OK,トムラウシ短縮コース登山口 -> トムラウシ山 -> トムラウシ短縮コース登山口
A,恵那山,神坂峠ルート,3,570,OK,神坂峠登山口 -> 恵那山 -> 神坂峠登山口
A,羅臼岳,岩尾別温泉・木下小屋登山口ルート,3,540,OK,岩尾別温泉・木下小屋登山口 -> 羅臼岳 -> 岩尾別温泉・木下小屋登山口
A,後方羊蹄山,京極登山口ルート,3,517,OK,京極登山口 -> 後方羊蹄山（羊蹄山） -> 京極登山口
A,武尊山,川場谷野営場ルート,3,500,OK,川場谷野営場登山口 -> 武尊山 -> 川場谷野営場登山口
A,両神山,日向大谷口ルート,3,497,OK,日向大谷口 -> 両神山 -> 日向大谷口
A,巻機山,桜坂ルート,3,494,OK,桜坂登山口 -> 巻機山 -> 桜坂登山口
B,飯豊山,大日杉登山口ルート,4,1033,OK,大日杉登山口 -> 切合小屋 -> 飯豊山 -> 大日杉登山口
B,大朝日岳,日暮沢・竜門ルート,4,892,OK,日暮沢登山口駐車場（日暮沢小屋） -> 竜門小屋 -> 大朝日岳 -> 日暮沢登山口駐車場（日暮沢小屋）
B,皇海山,銀山平・庚申山ルート,4,877,OK,銀山平・皇海山登山者駐車場 -> 庚申山荘（避難小屋） -> 皇海山 -> 銀山平・皇海山登山者駐車場
B,聖岳,椹島・聖平ルート,4,860,OK,椹島 -> 聖平小屋 -> 聖岳 -> 椹島
B,雲取山,鴨沢ルート,4,659,OK,鴨沢登山口 -> 七ツ石小屋 -> 雲取山 -> 鴨沢登山口
B,妙高山,笹ヶ峰ルート,4,570,OK,笹ヶ峰登山口 -> 黒沢池ヒュッテ -> 妙高山 -> 笹ヶ峰登山口
B,岩手山,馬返し登山口ルート,4,492,OK,馬返し登山口 -> 八合目避難小屋 -> 岩手山 -> 馬返し登山口
B,甲斐駒ヶ岳,北沢峠ルート,3,455,OK,北沢峠 -> 甲斐駒ヶ岳 -> 北沢峠
B,西吾妻山,白布峠登山口ルート,3,451,OK,白布峠登山口 -> 西吾妻山 -> 白布峠登山口
B,磐梯山,猪苗代ルート,3,449,OK,猪苗代登山口（猪苗代スキー場） -> 磐梯山 -> 猪苗代登山口（猪苗代スキー場）
B,鳥海山,湯ノ台口ルート,3,445,OK,湯ノ台口登山口 -> 鳥海山（新山） -> 湯ノ台口登山口
B,雨飾山,雨飾高原キャンプ場ルート,3,425,OK,雨飾高原キャンプ場登山口 -> 雨飾山 -> 雨飾高原キャンプ場登山口
B,甲武信ヶ岳,毛木平ルート,3,408,OK,毛木平登山口 -> 甲武信ヶ岳 -> 毛木平登山口
B,仙丈ヶ岳,北沢峠・小仙丈ルート,3,400,OK,北沢峠 -> 仙丈ヶ岳 -> 北沢峠
B,男体山,二荒山神社中宮祠ルート,3,390,OK,二荒山神社中宮祠登山口 -> 男体山 -> 二荒山神社中宮祠登山口
B,会津駒ヶ岳,滝沢ルート,3,380,OK,滝沢登山口 -> 会津駒ヶ岳 -> 滝沢登山口
B,燧ヶ岳,御池登山口ルート,3,376,OK,御池登山口 -> 燧ヶ岳（柴安嵓） -> 御池登山口
B,荒島岳,勝原コースルート,3,360,OK,勝原コース登山口 -> 荒島岳 -> 勝原コース登山口
C,雄阿寒岳,滝口・雄阿寒岳ルート,3,340,OK,滝口・雄阿寒岳登山口 -> 雄阿寒岳 -> 滝口・雄阿寒岳登山口
C,苗場山,小赤沢三合目ルート,3,336,OK,小赤沢三合目登山口 -> 苗場山 -> 小赤沢三合目登山口
C,月山,姥沢 月山リフトルート,3,334,OK,姥沢 月山リフト -> 月山 -> 姥沢 月山リフト
C,焼岳,新中の湯登山口ルート,3,319,OK,新中の湯登山口 -> 焼岳 -> 新中の湯登山口
C,四阿山,菅平牧場ルート,3,315,OK,菅平牧場登山口 -> 四阿山 -> 菅平牧場登山口
C,斜里岳,清岳荘登山口ルート,3,310,OK,清岳荘登山口 -> 斜里岳 -> 清岳荘登山口
C,開聞岳,かいもん山麓ふれあい公園駐車場・開聞岳登山口アクセスルート,3,308,OK,かいもん山麓ふれあい公園駐車場・開聞岳登山口アクセス -> 開聞岳 -> かいもん山麓ふれあい公園駐車場・開聞岳登山口アクセス
C,伊吹山,伊吹山 上野登山口（三之宮神社）ルート,3,300,OK,伊吹山 上野登山口（三之宮神社） -> 伊吹山 -> 伊吹山 上野登山口（三之宮神社）
C,至仏山,鳩待峠ルート,3,284,OK,鳩待峠 -> 至仏山 -> 鳩待峠
C,早池峰山,小田越ルート,3,283,OK,小田越登山口 -> 早池峰山 -> 小田越登山口
C,祖母山,北谷登山口駐車場・北谷登山口ルート,3,282,OK,北谷登山口駐車場・北谷登山口 -> 祖母山 -> 北谷登山口駐車場・北谷登山口
C,筑波山,筑波山神社・御幸ヶ原ルート,3,277,OK,筑波山神社入口 -> 筑波山（女体山） -> 筑波山神社入口
C,石鎚山,土小屋登山口ルート,3,270,OK,土小屋登山口 -> 石鎚山（弥山） -> 土小屋登山口
C,八甲田山,八甲田ロープウェー山頂公園駅ルート,3,268,OK,八甲田ロープウェー山頂公園駅 -> 八甲田山（大岳） -> 八甲田ロープウェー山頂公園駅
C,天城山（万三郎岳）,天城高原ハイカー専用駐車場ルート,3,265,OK,天城高原ハイカー専用駐車場 -> 天城山（万三郎岳） -> 天城高原ハイカー専用駐車場
C,阿蘇山（高岳）,仙酔峡駐車場・仙酔峡登山口ルート,3,264,OK,仙酔峡駐車場・仙酔峡登山口 -> 阿蘇山（高岳） -> 仙酔峡駐車場・仙酔峡登山口
C,奥白根山,菅沼登山口ルート,3,254,OK,菅沼登山口 -> 奥白根山（日光白根山） -> 菅沼登山口
C,安達太良山,奥岳・あだたら山ロープウェイルート,3,243,OK,奥岳登山口・あだたら山ロープウェイ -> 安達太良山 -> 奥岳登山口・あだたら山ロープウェイ
C,金峰山,大弛峠ルート,3,233,OK,大弛峠 -> 金峰山 -> 大弛峠
C,大菩薩嶺,上日川峠ルート,3,196,OK,上日川峠 -> 大菩薩嶺 -> 上日川峠
C,赤城山（黒檜山）,黒檜山ルート,3,175,OK,黒檜山登山口 -> 赤城山（黒檜山） -> 黒檜山登山口
C,乗鞍岳,畳平バスターミナルルート,3,170,OK,畳平バスターミナル -> 乗鞍岳 -> 畳平バスターミナル
C,霧島山（韓国岳）,えびの高原・韓国岳登山口ルート,3,164,OK,えびの高原・韓国岳登山口 -> 霧島山（韓国岳） -> えびの高原・韓国岳登山口
C,茶臼岳（那須岳）,峠の茶屋・茶臼岳ルート,3,163,OK,峠の茶屋・那須岳登山口 -> 茶臼岳（那須岳） -> 峠の茶屋・那須岳登山口
C,岩木山,岩木山八合目ルート,3,135,OK,岩木山八合目 -> 岩木山 -> 岩木山八合目
C,美ヶ原,山本小屋・王ヶ頭ルート,3,104,OK,山本小屋ふる里館・町営駐車場 -> 美ヶ原（王ヶ頭） -> 山本小屋ふる里館・町営駐車場
C,蔵王山（熊野岳）,蔵王ロープウェイ地蔵山頂駅ルート,3,95,OK,蔵王ロープウェイ地蔵山頂駅 -> 蔵王山（熊野岳） -> 蔵王ロープウェイ地蔵山頂駅
C,霧ヶ峰（車山）,車山肩ルート,3,70,OK,車山肩 -> 霧ヶ峰（車山） -> 車山肩
C,日出ヶ岳,大台ヶ原ビジターセンタールート,3,68,OK,大台ヶ原ビジターセンター -> 日出ヶ岳 -> 大台ヶ原ビジターセンター
C,八幡平,八幡平見返峠・山頂レストハウスルート,3,46,OK,八幡平見返峠・山頂レストハウス -> 八幡平 -> 八幡平見返峠・山頂レストハウス
HOLD,草津白根山,,0,0,NO_COURSE,
OK,鷲羽岳,折立登山口ルート,9,1539,OK,折立登山口 -> 太郎平小屋 -> 薬師沢小屋 -> 雲ノ平山荘 -> 鷲羽岳 -> 雲ノ平山荘 -> 薬師沢小屋 -> 太郎平小屋 -> 折立登山口
OK,水晶岳（黒岳）,折立登山口ルート,9,1430,OK,折立登山口 -> 太郎平小屋 -> 薬師沢小屋 -> 雲ノ平山荘 -> 水晶岳 -> 雲ノ平山荘 -> 薬師沢小屋 -> 太郎平小屋 -> 折立登山口
OK,幌尻岳,イドンナップ山荘駐車場（新冠陽希コース）ルート,5,1252,OK,イドンナップ山荘駐車場（新冠陽希コース） -> 新冠ポロシリ山荘 -> 幌尻岳 -> 新冠ポロシリ山荘 -> イドンナップ山荘駐車場（新冠陽希コース）
OK,光岳,沼平ゲートルート,5,1195,OK,沼平ゲート -> 茶臼岳 -> 光岳 -> 茶臼小屋 -> 沼平ゲート
OK,赤石岳,椹島ルート,7,1189,OK,椹島 -> 千枚小屋 -> 荒川岳 -> 荒川小屋 -> 赤石岳 -> 赤石小屋 -> 椹島
OK,間ノ岳,広河原・北岳縦走ルート,11,1131,OK,広河原 -> 白根御池小屋 -> 北岳肩の小屋 -> 北岳 -> 北岳山荘 -> 中白根山 -> 間ノ岳 -> 農鳥小屋 -> 農鳥岳 -> 大門沢小屋 -> 奈良田
OK,槍ヶ岳,上高地・槍沢ルート,11,1110,OK,上高地 -> 横尾山荘 -> 槍沢ロッヂ -> ババ平（槍沢キャンプ場） -> 大曲（水俣乗越分岐） -> 天狗原分岐 -> 槍ヶ岳山荘 -> 槍ヶ岳 -> 槍ヶ岳山荘 -> 槍沢ロッヂ -> 上高地
OK,奥穂高岳,上高地・涸沢ルート,9,1035,OK,上高地 -> 横尾山荘 -> 涸沢ヒュッテ -> 穂高岳山荘 -> 奥穂高岳 -> 穂高岳山荘 -> 涸沢ヒュッテ -> 横尾山荘 -> 上高地
OK,黒部五郎岳,折立・太郎平ルート,5,984,OK,折立登山口 -> 太郎平小屋 -> 黒部五郎岳 -> 太郎平小屋 -> 折立登山口
OK,鹿島槍ヶ岳,扇沢・柏原新道ルート,7,900,OK,扇沢登山口 -> 種池山荘 -> 冷池山荘 -> 鹿島槍ヶ岳 -> 冷池山荘 -> 種池山荘 -> 扇沢登山口
OK,荒川岳,椹島・千枚小屋ルート,5,826,OK,椹島 -> 千枚小屋 -> 荒川岳 -> 千枚小屋 -> 椹島
OK,薬師岳,折立・太郎平ルート,7,810,OK,折立登山口 -> 太郎平小屋 -> 薬師岳山荘 -> 薬師岳 -> 薬師岳山荘 -> 太郎平小屋 -> 折立登山口
