PASS 槍ヶ岳 | 上高地 -> 横尾山荘 -> 槍沢ロッヂ -> ババ平（槍沢キャンプ場） -> 大曲（水俣乗越分岐） -> 天狗原分岐 -> 槍ヶ岳山荘 -> 槍ヶ岳 -> 槍ヶ岳山荘 -> 天狗原分岐 -> 大曲（水俣乗越分岐） -> ババ平（槍沢キャンプ場） -> 槍沢ロッヂ -> 横尾山荘 -> 上高地 | points=15 segments=14
PASS 常念岳 | 一ノ沢登山口 -> 常念乗越 -> 常念小屋 -> 常念岳 -> 常念小屋 -> 常念乗越 -> 一ノ沢登山口 | points=7 segments=6
PASS 大雪山（旭岳） | 旭岳ロープウェイ姿見駅 -> 旭岳石室 -> 大雪山（旭岳） -> 旭岳石室 -> 旭岳ロープウェイ姿見駅 | points=5 segments=4
PASS 鳥海山 | 鉾立登山口（象潟口） -> 御浜小屋 -> 鳥海山（新山） -> 御浜小屋 -> 鉾立登山口（象潟口） | points=5 segments=4
PASS 谷川岳 | 天神平 -> 熊穴沢避難小屋 -> 谷川岳（オキノ耳） -> 熊穴沢避難小屋 -> 天神平 | points=5 segments=4
PASS 八ヶ岳（赤岳） | 美濃戸口 -> 美濃戸 -> 赤岳鉱泉 -> 行者小屋 -> 赤岳 -> 行者小屋 -> 赤岳鉱泉 -> 美濃戸 -> 美濃戸口 | points=9 segments=8
PASS 高妻山 | 戸隠キャンプ場・高妻山登山者駐車場 -> 一不動避難小屋 -> 高妻山 -> 一不動避難小屋 -> 戸隠キャンプ場・高妻山登山者駐車場 | points=5 segments=4
PASS 妙高山 | 笹ヶ峰登山口 -> 黒沢池ヒュッテ -> 妙高山 -> 黒沢池ヒュッテ -> 笹ヶ峰登山口 | points=5 segments=4
PASS 烏帽子岳 | 高瀬ダム -> 烏帽子小屋 -> 烏帽子岳 -> 烏帽子小屋 -> 高瀬ダム | points=5 segments=4
PASS 木曽駒ヶ岳 | 千畳敷 -> 乗越浄土 -> 木曽駒ヶ岳 -> 乗越浄土 -> 千畳敷 | points=5 segments=4
PASS 甲武信ヶ岳 | 毛木平登山口 -> 甲武信小屋 -> 甲武信ヶ岳 -> 甲武信小屋 -> 毛木平登山口 | points=5 segments=4
PASS 瑞牆山 | 瑞牆山荘・富士見平口 -> 富士見平小屋 -> 瑞牆山 -> 富士見平小屋 -> 瑞牆山荘・富士見平口 | points=5 segments=4
PASS 白木峰 | 白木峰8合目駐車場 -> 白木山荘（避難小屋） -> 白木峰 -> 白木山荘（避難小屋） -> 白木峰8合目駐車場 | points=5 segments=4
PASS 白山 | 別当出合 -> 白山室堂 -> 白山（御前峰） -> 白山室堂 -> 別当出合 | points=5 segments=4
PASS 剣山 | 見ノ越 剣山登山口 -> 剣山野営場（西島野営場） -> 剣山観光登山リフト西島駅 -> 剣山 -> 剣山観光登山リフト西島駅 -> 剣山野営場（西島野営場） -> 見ノ越 剣山登山口 | points=7 segments=6
PASS 蝶ヶ岳 | 三股登山口 -> 蝶ヶ岳ヒュッテ -> 蝶ヶ岳 -> 蝶ヶ岳ヒュッテ -> 三股登山口 | points=5 segments=4
PASS 唐松岳 | 八方池山荘 -> 八方池 -> 唐松岳頂上山荘 -> 唐松岳 -> 唐松岳頂上山荘 -> 八方池 -> 八方池山荘 | points=7 segments=6
SUMMARY routes=17 bad=0
