mountain,course,from,to,status,note
羅臼岳,羅臼温泉登山口ルート,羅臼岳,羅臼温泉登山口,CT情報なし,公開標準CTを端点・方向まで一意確認できず。推測値は使用しない
トムラウシ山,トムラウシ温泉ルート,トムラウシ温泉登山口（東大雪荘）,トムラウシ山,CT情報なし,公開標準CTを端点・方向まで一意確認できず。推測値は使用しない
トムラウシ山,トムラウシ温泉ルート,トムラウシ山,トムラウシ温泉登山口（東大雪荘）,CT情報なし,公開標準CTを端点・方向まで一意確認できず。推測値は使用しない
オプタテシケ山,望岳台ルート,望岳台,オプタテシケ山,CT情報なし,公開標準CTを端点・方向まで一意確認できず。推測値は使用しない
オプタテシケ山,望岳台ルート,オプタテシケ山,望岳台,CT情報なし,公開標準CTを端点・方向まで一意確認できず。推測値は使用しない
カムイエクウチカウシ山,札内川ヒュッテ駐車場ルート,カムイエクウチカウシ山,札内川ヒュッテ駐車場,CT情報なし,公開標準CTを端点・方向まで一意確認できず。推測値は使用しない
芦別岳,新道登山口ルート,芦別岳,新道登山口,CT情報なし,公開標準CTを端点・方向まで一意確認できず。推測値は使用しない
芦別岳,山部自然公園太陽の里 芦別岳登山口ルート,芦別岳,山部自然公園太陽の里 芦別岳登山口,CT情報なし,公開標準CTを端点・方向まで一意確認できず。推測値は使用しない
余市岳,キロロリゾート・赤井川コース入口ルート,余市岳,キロロリゾート・赤井川コース入口,CT情報なし,公開標準CTを端点・方向まで一意確認できず。推測値は使用しない
渡島駒ヶ岳,赤井川登山口・6合目駐車場ルート,赤井川登山口・6合目駐車場,渡島駒ヶ岳（剣ヶ峯）,CT情報なし,公開標準CTを端点・方向まで一意確認できず。推測値は使用しない
渡島駒ヶ岳,赤井川登山口・6合目駐車場ルート,渡島駒ヶ岳（剣ヶ峯）,赤井川登山口・6合目駐車場,CT情報なし,公開標準CTを端点・方向まで一意確認できず。推測値は使用しない
大千軒岳,奥二股登山口駐車場ルート,大千軒岳,奥二股登山口駐車場,CT情報なし,公開標準CTを端点・方向まで一意確認できず。推測値は使用しない
乳頭山（烏帽子岳）,蟹場温泉ルート,蟹場温泉,乳頭山（烏帽子岳）,CT情報なし,公開標準CTを端点・方向まで一意確認できず。推測値は使用しない
乳頭山（烏帽子岳）,蟹場温泉ルート,乳頭山（烏帽子岳）,蟹場温泉,CT情報なし,公開標準CTを端点・方向まで一意確認できず。推測値は使用しない
太平山,旭又登山口ルート,太平山,旭又登山口,CT情報なし,公開標準CTを端点・方向まで一意確認できず。推測値は使用しない
摩耶山,越沢口ルート,摩耶山,越沢口,CT情報なし,公開標準CTを端点・方向まで一意確認できず。推測値は使用しない
大朝日岳,日暮沢・竜門ルート,大朝日岳,日暮沢登山口駐車場（日暮沢小屋）,CT情報なし,公開標準CTを端点・方向まで一意確認できず。推測値は使用しない
船形山,大滝キャンプ場・船形山登山口ルート,船形山（御所山）,大滝キャンプ場・船形山登山口,CT情報なし,公開標準CTを端点・方向まで一意確認できず。推測値は使用しない
泉ヶ岳,泉ヶ岳大駐車場ルート,泉ヶ岳,泉ヶ岳大駐車場,CT情報なし,公開標準CTを端点・方向まで一意確認できず。推測値は使用しない
飯豊山,大日杉登山口ルート,飯豊山,大日杉登山口,CT情報なし,公開標準CTを端点・方向まで一意確認できず。推測値は使用しない
七ヶ岳,会津高原たかつえスキー場・七ヶ岳登山口ルート,七ヶ岳,会津高原たかつえスキー場・七ヶ岳登山口,CT情報なし,公開標準CTを端点・方向まで一意確認できず。推測値は使用しない
荒海山,八総鉱山跡・荒海山登山駐車場ルート,荒海山（太郎岳）,八総鉱山跡・荒海山登山駐車場,CT情報なし,公開標準CTを端点・方向まで一意確認できず。推測値は使用しない
会津朝日岳,赤倉沢登山口ルート,会津朝日岳,赤倉沢登山口,CT情報なし,公開標準CTを端点・方向まで一意確認できず。推測値は使用しない
燧ヶ岳,小沢平登山口ルート,小沢平登山口,燧ヶ岳（柴安嵓）,CT情報なし,公開標準CTを端点・方向まで一意確認できず。推測値は使用しない
燧ヶ岳,小沢平登山口ルート,燧ヶ岳（柴安嵓）,小沢平登山口,CT情報なし,公開標準CTを端点・方向まで一意確認できず。推測値は使用しない
大滝根山,高塚高原キャンプ場駐車場ルート,大滝根山,高塚高原キャンプ場駐車場,CT情報なし,公開標準CTを端点・方向まで一意確認できず。推測値は使用しない
杁差岳,奥胎内ヒュッテ（足ノ松尾根ルート起点）ルート,杁差岳,奥胎内ヒュッテ（足ノ松尾根ルート起点）,CT情報なし,公開標準CTを端点・方向まで一意確認できず。推測値は使用しない
鳥甲山,ムジナ平ルート,鳥甲山,ムジナ平登山口,CT情報なし,公開標準CTを端点・方向まで一意確認できず。推測値は使用しない
鳥甲山,屋敷口ルート,鳥甲山,屋敷口,CT情報なし,公開標準CTを端点・方向まで一意確認できず。推測値は使用しない
男鹿岳,深山園地・塩那道路ゲートルート,深山園地・塩那道路ゲート,男鹿岳,CT情報なし,公開標準CTを端点・方向まで一意確認できず。推測値は使用しない
男鹿岳,深山園地・塩那道路ゲートルート,男鹿岳,深山園地・塩那道路ゲート,CT情報なし,公開標準CTを端点・方向まで一意確認できず。推測値は使用しない
景鶴山,鳩待峠（尾瀬側起点）ルート,鳩待峠（尾瀬側起点）,景鶴山,CT情報なし,公開標準CTを端点・方向まで一意確認できず。推測値は使用しない
景鶴山,鳩待峠（尾瀬側起点）ルート,景鶴山,鳩待峠（尾瀬側起点）,CT情報なし,公開標準CTを端点・方向まで一意確認できず。推測値は使用しない
釈迦ヶ岳（栃木）,八方ヶ原・大間々台登山口ルート,高原山・釈迦ヶ岳,八方ヶ原・大間々台登山口,CT情報なし,公開標準CTを端点・方向まで一意確認できず。推測値は使用しない
女峰山,滝尾神社登山口ルート,女峰山,滝尾神社登山口,CT情報なし,公開標準CTを端点・方向まで一意確認できず。推測値は使用しない
草津白根山,白根火山・湯釜側起点ルート,白根火山・湯釜側起点,草津白根山（白根山）,CT情報なし,公開標準CTを端点・方向まで一意確認できず。推測値は使用しない
草津白根山,白根火山・湯釜側起点ルート,草津白根山（白根山）,白根火山・湯釜側起点,CT情報なし,公開標準CTを端点・方向まで一意確認できず。推測値は使用しない
