mountain,name,lat,lon,kind,potability,near_point,route_distance_m,source_type,source_name,source_url,score,review_priority,suspicious,already_fixed,fixed_name,status,score_reasons
蓼科山,蓼科山七合目登山口〜女乃神茶屋・蓼科山登山口付近の給水情報あり,36.0848,138.280649,給水情報あり,not_drinking,蓼科山七合目登山口〜女乃神茶屋・蓼科山登山口,569,osm,OpenStreetMap / Overpass API,https://www.openstreetmap.org/node/4172904675,0,low,False,False,,review,route<=800m;water-name;not_drinking
八ヶ岳（赤岳）,行者小屋〜赤岳天望荘付近の飲料水,35.978948,138.364317,飲料水,confirmed,行者小屋〜赤岳天望荘,221,osm,OpenStreetMap / Overpass API,https://www.openstreetmap.org/node/5851991301,9,high,False,True,行者小屋付近の飲料水,existing,route<=300m;amenity=drinking_water;water-name
白馬岳,銀嶺水,36.779,137.816056,湧水,unknown,栂池登山道入口,474,public_seed,YAMAP,https://yamap.com/landmarks/199865,9,high,False,False,,review,published-coordinate;curated-public-source
剱岳,早月小屋〜剱澤小屋付近の飲料水,36.604696,137.616062,飲料水,confirmed,早月小屋〜剱澤小屋,125,osm,OpenStreetMap / Overpass API,https://www.openstreetmap.org/node/8737281672,9,high,False,True,剱澤小屋付近の飲料水,existing,route<=300m;amenity=drinking_water;water-name
剱岳,立山玉殿の湧水,36.577632,137.595948,飲料水,confirmed,室堂,90,osm,OpenStreetMap / Overpass API,https://www.openstreetmap.org/node/3762227714,9,high,False,True,立山玉殿の湧水,existing,route<=300m;amenity=drinking_water;water-name
剱岳,早月小屋〜剱澤小屋付近の湧水,36.599913,137.612268,湧水,unknown,早月小屋〜剱澤小屋,718,osm,OpenStreetMap / Overpass API,https://www.openstreetmap.org/node/5855396029,6,medium,False,True,剱澤小屋付近の湧水,existing,route<=800m;spring;water-name
立山,立山玉殿の湧水,36.577632,137.595948,飲料水,confirmed,室堂〜一の越山荘,13,osm,OpenStreetMap / Overpass API,https://www.openstreetmap.org/node/3762227714,9,high,False,True,立山玉殿の湧水,existing,route<=300m;amenity=drinking_water;water-name
奥大日岳,立山玉殿の湧水,36.577632,137.595948,飲料水,confirmed,室堂,90,osm,OpenStreetMap / Overpass API,https://www.openstreetmap.org/node/3762227714,9,high,False,True,立山玉殿の湧水,existing,route<=300m;amenity=drinking_water;water-name
黒部五郎岳,黒部五郎岳付近の湧水,36.394572,137.543581,湧水,unknown,黒部五郎岳,339,osm,OpenStreetMap / Overpass API,https://www.openstreetmap.org/node/5828145985,6,medium,False,True,黒部五郎岳付近の湧水,existing,route<=800m;spring;water-name
笠ヶ岳（岐阜）,わさび平小屋〜笠ヶ岳山荘付近の飲料水,36.306566,137.589007,飲料水,confirmed,わさび平小屋〜笠ヶ岳山荘,167,osm,OpenStreetMap / Overpass API,https://www.openstreetmap.org/node/4071888804,9,high,False,True,わさび平小屋付近の飲料水,existing,route<=300m;amenity=drinking_water;water-name
笠ヶ岳（岐阜）,笠ヶ岳山荘〜笠ヶ岳付近の飲料水,36.317845,137.551346,飲料水,confirmed,笠ヶ岳山荘〜笠ヶ岳,252,osm,OpenStreetMap / Overpass API,https://www.openstreetmap.org/node/3787659015,9,high,False,True,笠ヶ岳付近の飲料水,existing,route<=300m;amenity=drinking_water;water-name
餓鬼岳,中房登山口付近の湧水,36.391613,137.742889,湧水,confirmed,中房登山口,504,osm,OpenStreetMap / Overpass API,https://www.openstreetmap.org/node/12139003813,9,high,False,True,中房登山口付近の湧水,existing,route<=800m;drinking_water=yes;spring;water-name
餓鬼岳,中房登山口付近の飲料水,36.392932,137.747078,飲料水,confirmed,中房登山口,398,osm,OpenStreetMap / Overpass API,https://www.openstreetmap.org/node/1845028377,8,high,False,True,中房登山口付近の飲料水,existing,route<=800m;amenity=drinking_water;water-name
有明山,中房登山口付近の湧水,36.391613,137.742889,湧水,confirmed,中房登山口,504,osm,OpenStreetMap / Overpass API,https://www.openstreetmap.org/node/12139003813,9,high,False,True,中房登山口付近の湧水,existing,route<=800m;drinking_water=yes;spring;water-name
有明山,中房登山口付近の飲料水,36.392932,137.747078,飲料水,confirmed,中房登山口,398,osm,OpenStreetMap / Overpass API,https://www.openstreetmap.org/node/1845028377,8,high,False,True,中房登山口付近の飲料水,existing,route<=800m;amenity=drinking_water;water-name
大天井岳,中房登山口（燕岳・大天井岳 表銀座ルート）付近の湧水,36.391613,137.742889,湧水,confirmed,中房登山口（燕岳・大天井岳 表銀座ルート）,504,osm,OpenStreetMap / Overpass API,https://www.openstreetmap.org/node/12139003813,9,high,False,True,中房登山口（燕岳・大天井岳 表銀座ルート）付近の湧水,existing,route<=800m;drinking_water=yes;spring;water-name
大天井岳,中房登山口（燕岳・大天井岳 表銀座ルート）付近の飲料水,36.392932,137.747078,飲料水,confirmed,中房登山口（燕岳・大天井岳 表銀座ルート）,398,osm,OpenStreetMap / Overpass API,https://www.openstreetmap.org/node/1845028377,8,high,False,True,中房登山口（燕岳・大天井岳 表銀座ルート）付近の飲料水,existing,route<=800m;amenity=drinking_water;water-name
