priority,mountain,points_before,ct_min,catalog_count,route
A,傾山,3,613,2,九折登山口 傾山 -> 傾山 -> 九折登山口 傾山
A,東赤石山,3,580,3,瀬場登山口 東赤石山 -> 東赤石山 -> 瀬場登山口 東赤石山
A,大崩山,3,478,3,祝子川 大崩山登山口 -> 大崩山 -> 祝子川 大崩山登山口
A,三嶺,3,460,7,光石登山口 -> 三嶺 -> 光石登山口
A,六甲山,3,420,3,芦屋川 高座の滝 -> 六甲山 -> 芦屋川 高座の滝
A,伯母子岳,3,391,3,大股登山口 伯母子岳 -> 伯母子岳 -> 大股登山口 伯母子岳
A,市房山,3,389,2,市房山キャンプ場（市房山登山口アクセス起点） -> 市房山 -> 市房山キャンプ場（市房山登山口アクセス起点）
A,武奈ヶ岳,3,375,3,坊村 武奈ヶ岳登山口 -> 武奈ヶ岳 -> 坊村 武奈ヶ岳登山口
A,湧蓋山,3,368,2,八丁原登山口 -> 涌蓋山 -> 八丁原登山口
A,山上ヶ岳,3,356,3,清浄大橋 大峯山登山口 -> 山上ヶ岳 -> 清浄大橋 大峯山登山口
A,氷ノ山,3,354,5,福定親水公園 氷ノ山登山口 -> 氷ノ山 -> 福定親水公園 氷ノ山登山口
A,尾鈴山,3,350,2,尾鈴山第1駐車場（尾鈴山登山口アクセス起点） -> 尾鈴山 -> 尾鈴山第1駐車場（尾鈴山登山口アクセス起点）
A,藤原岳,3,333,4,大貝戸登山口 藤原岳 -> 藤原岳 -> 大貝戸登山口 藤原岳
A,三本杭,3,320,2,万年橋 滑床渓谷 三本杭登山口 -> 三本杭 -> 万年橋 滑床渓谷 三本杭登山口
A,愛宕山,3,309,2,清滝 愛宕山登山口 -> 愛宕山 -> 清滝 愛宕山登山口
B,伊予富士,3,295,2,寒風山登山口 -> 伊予富士 -> 寒風山登山口
B,由布岳,3,294,2,由布岳正面登山口駐車場 -> 由布岳 -> 由布岳正面登山口駐車場
B,高隈山,3,285,2,大箆柄岳 垂桜コース駐車場・登山口 -> 高隈山（大箆柄岳） -> 大箆柄岳 垂桜コース駐車場・登山口
B,英彦山,3,278,3,別所駐車場・英彦山登山口 -> 英彦山 -> 別所駐車場・英彦山登山口
