PASS 雄阿寒岳 | 滝口・雄阿寒岳ルート | 200m
PASS 天塩岳 | 天塩岳ヒュッテルート | 268m
PASS ニセイカウシュッペ山 | ニセイカウシュッペ山（古川林道・西尾根）ルート | 197m
PASS 石狩岳 | シュナイダーコース（音更川二十一ノ沢出合）ルート | 285m
PASS トムラウシ山 | トムラウシ短縮コースルート | 357m
PASS 夕張岳 | 冷水・馬の背（夕張岳ヒュッテ）ルート | 271m
PASS 暑寒別岳 | 暑寒荘・暑寒別岳ルート | 311m
PASS 樽前山 | 7合目ルート | 50m
PASS ニセコアンヌプリ | 五色温泉インフォメーションセンタールート | 110m
PASS 狩場山 | 千走ルート | 207m
PASS 岩木山 | 岩木山八合目ルート | 86m
PASS 白神岳 | 白神岳駐車場ルート | 288m
PASS 八幡平 | 八幡平見返峠・山頂レストハウスルート | 25m
PASS 早池峰山 | 小田越ルート | 154m
PASS 焼石岳 | 中沼ルート | 215m
PASS 神室山 | 有屋ルート | 267m
PASS 祝瓶山 | 祝瓶山荘駐車場・桑住平ルートルート | 225m
PASS 蔵王山（熊野岳） | 蔵王ロープウェイ地蔵山頂駅ルート | 60m
PASS 一切経山 | 浄土平ルート | 101m
PASS 安達太良山 | 奥岳・あだたら山ロープウェイルート | 150m
PASS 帝釈山 | 馬坂峠ルート | 60m
PASS 会津駒ヶ岳 | 滝沢ルート | 241m
PASS 二王子岳 | 二王子神社ルート | 240m
PASS 粟ヶ岳 | 粟ヶ岳中央（県民休養地）ルート | 180m
PASS 御神楽岳 | 室谷ルート | 240m
PASS 守門岳 | 二口ルート | 180m
PASS 守門岳 | 保久礼ルート | 210m
PASS 浅草岳 | ネズモチ平駐車場ルート | 135m
PASS 平ヶ岳 | 鷹ノ巣・平ヶ岳ルート | 390m
PASS 越後駒ヶ岳 | 枝折峠ルート | 360m
PASS 中ノ岳 | 十字峡登山センタールート | 360m
PASS 苗場山 | 小赤沢三合目ルート | 200m
PASS 佐武流山 | ドロノ木平ルート | 404m
PASS 鳥甲山 | ムジナ平ルート | 270m
PASS 鳥甲山 | 屋敷口ルート | 300m
PASS 金北山 | 白雲台交流センタールート | 125m
PASS 米山 | 大平ルート | 150m
PASS 至仏山 | 鳩待峠ルート | 173m
PASS 男体山 | 二荒山神社中宮祠ルート | 230m
PASS 太郎山 | 山王峠・太郎山ルート | 219m
PASS 武尊山 | 川場谷野営場ルート | 275m
PASS 赤城山（黒檜山） | 黒檜山ルート | 102m
PASS 浅間隠山 | 浅間隠山（二度上峠付近）ルート | 107m
PASS 巻機山 | 桜坂ルート | 307m
PASS 四阿山 | 菅平牧場ルート | 180m
