mountain,label,route,ct_status,public_basis
"至仏山","山ノ鼻・東面登山道ルート","山ノ鼻（登り専用） → 至仏山 → 鳩待峠","確認済み","YAMAPモデルコース／山ノ鼻東面は上り専用"
"妙高山","燕温泉ルート","燕温泉登山口 → 妙高山 → 燕温泉登山口","確認済み","新潟県・YAMAPモデルコース"
"赤城山（黒檜山）","駒ヶ岳登山口・駒ヶ岳経由ルート","おのこ駐車場・駒ヶ岳登山口 → 黒檜山 → 同登山口","推定CT","YAMAP赤城駒ヶ岳登山口-駒ヶ岳-黒檜山モデルコース"
"瑞牆山","みずがき山自然公園ルート","みずがき山自然公園 → 瑞牆山 → みずがき山自然公園","確認済み","北杜市公式コースガイド"
"金峰山","瑞牆山荘・富士見平ルート","瑞牆山荘・富士見平口 → 金峰山 → 同登山口","確認済み","北杜市公式コースガイド"
"恵那山","広河原ルート","広河原登山口・峰越林道ゲート → 恵那山 → 同登山口","確認済み","山と高原地図Web／公開登山ガイド"
"塔ノ岳","戸沢出合・天神尾根ルート","戸沢出合 → 塔ノ岳 → 戸沢出合","確認済み","YAMAP戸沢の出合モデルコース"
"高見山","たかすみ温泉ルート","たかすみ温泉 → 高見山 → たかすみ温泉","推定CT","奈良県公式・東吉野村平野からの登山コース"
"大山（神奈川）","大山ケーブル・阿夫利神社下社ルート","大山ケーブル口 → 大山 → 大山ケーブル口","推定CT","伊勢原市・神奈川県公式コース案内"
"鹿島槍ヶ岳","大谷原・赤岩尾根ルート","大谷原 → 鹿島槍ヶ岳 → 大谷原","推定CT","山と高原地図Web・赤岩尾根コース"
