mountain,label,route,segments,verified_segments,estimated_segments
"富士山","富士宮ルート","富士宮口五合目 → 富士山（剣ヶ峰） → 富士宮口五合目","2","2","0"
"富士山","御殿場ルート","御殿場口新五合目 → 富士山（剣ヶ峰） → 御殿場口新五合目","2","0","2"
"筑波山","筑波山神社・御幸ヶ原ルート","筑波山神社入口 → 筑波山（女体山） → 筑波山神社入口","2","0","2"
"岩手山","焼走りルート","焼走り登山口 → 岩手山 → 焼走り登山口","2","0","2"
"鳥海山","湯ノ台口ルート","湯ノ台口登山口 → 鳥海山（新山） → 湯ノ台口登山口","2","2","0"
"磐梯山","猪苗代ルート","猪苗代登山口（猪苗代スキー場） → 磐梯山 → 猪苗代登山口（猪苗代スキー場）","2","2","0"
"白山","大白川・平瀬道ルート","大白川・平瀬道登山口 → 白山（御前峰） → 大白川・平瀬道登山口","2","0","2"
"白馬岳","蓮華温泉・白馬大池ルート","蓮華温泉 → 白馬大池山荘 → 小蓮華山 → 白馬岳 → 小蓮華山 → 白馬大池山荘 → 蓮華温泉","12","12","0"
"西穂高岳","新穂高ロープウェイ・西穂山荘ルート","新穂高ロープウェイ 西穂高口駅 → 西穂高岳 → 新穂高ロープウェイ 西穂高口駅","2","0","2"
"笠ヶ岳（岐阜）","笠新道ルート","笠新道登山口 → 笠ヶ岳 → 笠新道登山口","2","0","2"
"金剛山","千早本道ルート","千早本道登山口 → 金剛山 → 千早本道登山口","2","2","0"
"三嶺","光石ルート","光石登山口 → 三嶺 → 光石登山口","2","1","1"
"美ヶ原","山本小屋・王ヶ頭ルート","山本小屋ふる里館・町営駐車場 → 美ヶ原（王ヶ頭） → 山本小屋ふる里館・町営駐車場","2","2","0"
"天狗岳","唐沢鉱泉ルート","唐沢鉱泉 → 天狗岳 → 唐沢鉱泉","2","2","0"
"編笠山","富士見高原ルート","富士見高原登山口 → 編笠山 → 富士見高原登山口","2","0","2"
"三瓶山","北の原・姫逃池ルート","北の原・姫逃池登山口 → 三瓶山（男三瓶山） → 北の原・姫逃池登山口","2","0","2"
"医王山","しがらくびルート","しがらくび駐車場 → 医王山（奥医王山） → しがらくび駐車場","2","0","2"
"乳頭山（烏帽子岳）","蟹場温泉ルート","蟹場温泉 → 乳頭山（烏帽子岳） → 蟹場温泉","2","0","2"
"トムラウシ山","トムラウシ温泉ルート","トムラウシ温泉登山口（東大雪荘） → トムラウシ山 → トムラウシ温泉登山口（東大雪荘）","2","0","2"
"早池峰山","岳登山口ルート","岳登山口・岳駐車場 → 早池峰山 → 岳登山口・岳駐車場","2","0","2"
"戸隠山","戸隠キャンプ場・戸隠牧場ルート","戸隠キャンプ場・戸隠牧場 → 戸隠山 → 戸隠キャンプ場・戸隠牧場","2","0","2"
"雨飾山","大網ルート","大網登山口 → 雨飾山 → 大網登山口","2","0","2"
"鹿島槍ヶ岳","扇沢・柏原新道ルート","扇沢登山口 → 鹿島槍ヶ岳 → 扇沢登山口","4","3","1"
"常念岳","三股ルート","三股登山口 → 常念岳 → 三股登山口","2","2","0"
"空木岳","池山尾根ルート","池山口登山口 → 空木岳 → 池山口登山口","2","0","2"
"農鳥岳","奈良田ルート","奈良田 → 農鳥岳 → 奈良田","2","1","1"
"経ヶ岳（福井）","展望台駐車場ルート","経ヶ岳登山口展望台駐車場 → 経ヶ岳（福井） → 経ヶ岳登山口展望台駐車場","2","0","2"
"大日ヶ岳","高鷲スノーパークルート","高鷲スノーパーク → 大日ヶ岳 → 高鷲スノーパーク","2","0","2"
"位山","モンデウス飛騨位山ルート","モンデウス飛騨位山 → 位山 → モンデウス飛騨位山","2","0","2"
"久住山","長者原ルート","長者原 → 久住山 → 長者原","2","0","2"
"大船山","長者原ルート","長者原 → 大船山 → 長者原","2","0","2"
