mountain,type,name,lat,lon,elevation
硫黄岳,pass,夏沢峠,36.005833,138.364722,2432
硫黄岳,hut,本沢温泉,36.011944,138.370833,2093
天狗岳,pass,夏沢峠,36.005833,138.364722,2432
天狗岳,hut,本沢温泉,36.011944,138.370833,2093
天狗岳,hut,根石岳山荘,36.014167,138.358889,2533
和名倉山,hut,将監小屋,35.856907,138.863387,1740
甲武信ヶ岳,hut,雁坂小屋,35.892370,138.793860,1950
鳥海山,hut,御浜小屋,39.103889,140.014722,1702
岩手山,hut,不動平避難小屋,39.844722,141.000000,1830
秋田駒ヶ岳,hut,阿弥陀池避難小屋,39.758056,140.801944,1534
大山（鳥取）,hut,元谷避難小屋,35.380833,133.540833,1038
大山（鳥取）,hut,大休峠避難小屋,35.381944,133.571389,1110
八経ヶ岳,hut,行者還避難小屋,34.202778,135.945278,1416
八経ヶ岳,hut,楊枝ヶ宿避難小屋,34.139870,135.907755,1619
剣山,hut,一の森ヒュッテ,33.852500,134.110833,1862
