トムラウシ山 | トムラウシ短縮コースルート | hut:ヒサゴ沼避難小屋, pass:三川台分岐
夕張岳 | 冷水・馬の背（夕張岳ヒュッテ）ルート | hut:夕張岳ヒュッテ
暑寒別岳 | 暑寒荘・暑寒別岳ルート | hut:暑寒荘
苗場山 | 小赤沢三合目ルート | hut:苗場山頂ヒュッテ
米山 | 大平ルート | hut:米山山頂避難小屋
至仏山 | 鳩待峠ルート | hut:龍宮小屋, hut:見晴（尾瀬小屋・見晴地区）, peak:燧ヶ岳（柴安嵓）
天狗岳 | 渋の湯・黒百合ヒュッテルート | pass:夏沢峠, hut:本沢温泉, hut:根石岳山荘, peak:天狗岳（東天狗岳）
鉢伏山 | 扉温泉ルート | hut:鉢伏山荘
戸隠山 | 戸隠神社奥社ルート | hut:一不動避難小屋
高妻山 | 戸隠キャンプ場・高妻山登山者駐車場ルート | hut:一不動避難小屋
妙高山 | 笹ヶ峰ルート | hut:高谷池ヒュッテ, hut:黒沢池ヒュッテ
火打山 | 笹ヶ峰ルート | hut:黒沢池ヒュッテ
雨飾山 | 雨飾高原キャンプ場ルート | hut:雨飾山荘（雨飾温泉）
唐松岳 | 八方尾根ルート | pass:八方池
鹿島槍ヶ岳 | アルプス平ルート | hut:種池山荘, hut:冷池山荘
剱岳 | 室堂・別山尾根ルート | hut:早月小屋
剱岳 | 馬場島・早月尾根ルート | hut:剱澤小屋, hut:剣山荘
立山 | 室堂・一ノ越・雄山ルート | peak:立山（大汝山）, peak:雄山
常念岳 | 一ノ沢ルート | pass:常念乗越, peak:蝶槍
槍ヶ岳 | 上高地・槍沢ルート | hut:横尾山荘, hut:槍平小屋, camp:槍平小屋テント場, camp:槍ヶ岳山荘テント場, pass:千丈乗越, pass:飛騨乗越, camp:ババ平（槍沢キャンプ場）, pass:大曲（水俣乗越分岐）, pass:天狗原分岐
槍ヶ岳 | 新穂高・槍平ルート | hut:横尾山荘, hut:槍沢ロッヂ, camp:槍平小屋テント場, camp:槍ヶ岳山荘テント場, pass:千丈乗越, pass:飛騨乗越, camp:ババ平（槍沢キャンプ場）, pass:大曲（水俣乗越分岐）, pass:天狗原分岐
木曽駒ヶ岳 | 千畳敷ルート | pass:乗越浄土, hut:天狗荘, hut:宝剣山荘, hut:頂上山荘, hut:玉乃窪山荘
空木岳 | 千畳敷・中央アルプス縦走ルート | hut:空木駒峰ヒュッテ
雲取山 | 鴨沢ルート | hut:雲取山荘
甲武信ヶ岳 | 毛木平ルート | hut:甲武信小屋
金峰山 | 大弛峠ルート | hut:富士見平小屋, hut:大日小屋
瑞牆山 | 瑞牆山荘・富士見平口ルート | hut:富士見平小屋
大菩薩嶺 | 上日川峠ルート | hut:介山荘
塔ノ岳 | 大倉ルート | hut:尊仏山荘
甲斐駒ヶ岳 | 北沢峠ルート | hut:長衛小屋, hut:仙水小屋, hut:北沢峠こもれび山荘, peak:摩利支天
仙丈ヶ岳 | 北沢峠・小仙丈ルート | hut:長衛小屋, hut:馬の背ヒュッテ, hut:仙丈小屋
北岳 | 広河原・草すべりルート | peak:中白根山
間ノ岳 | 広河原・北岳縦走ルート | hut:熊ノ平小屋, peak:中白根山
白木峰 | 白木峰8合目駐車場ルート | hut:白木山荘（避難小屋）
瓶ヶ森 | 瓶ヶ森駐車場ルート | hut:瓶ヶ森避難小屋
久住山 | 牧ノ戸峠ルート | peak:中岳(くじゅう), peak:三俣山, peak:大船山, peak:星生山, hut:法華院温泉山荘, camp:坊ガツル
