mountain,course,from,to,old_estimated_minutes,verified_minutes,source
芦別岳,新道登山口ルート,新道登山口,芦別岳,340,240,北海道上川総合振興局・芦別岳登山ガイド
芦別岳,山部自然公園太陽の里 芦別岳登山口ルート,山部自然公園太陽の里 芦別岳登山口,芦別岳,340,240,北海道上川総合振興局・芦別岳登山ガイド
以東岳,泡滝ダム・大鳥登山口ルート,泡滝ダム・大鳥登山口,以東岳,390,394,公開登山ガイド・直登コース上り6時間34分
泉ヶ岳,泉ヶ岳大駐車場ルート,泉ヶ岳大駐車場,泉ヶ岳,170,166,YAMAP・水神コース標準CT
御座山,長者の森登山口ルート,長者の森登山口,御座山,240,224,YAMAP・長者の森コース標準CT
焼岳,新中の湯登山口ルート,新中の湯登山口,焼岳,200,169,YAMAP・新中の湯ルート標準CT
御嶽,中の湯登山口（黒沢口）ルート,中の湯登山口（黒沢口）,御嶽山（剣ヶ峰）,280,245,登山口ナビ・黒沢口 登り4時間05分
毛無山,麓・毛無山登山口ルート,麓・毛無山登山口,毛無山,210,215,富士宮市公式・毛無山コース
金剛山,千早本道登山口ルート,千早本道登山口,金剛山,150,110,YAMAP・千早本道標準CT
愛宕山,清滝 愛宕山登山口ルート,清滝 愛宕山登山口,愛宕山,210,175,YAMAP・表参道標準CT
氷ノ山,わかさ氷ノ山登山口ルート,わかさ氷ノ山登山口,氷ノ山,140,130,鳥取県・氷ノ山登山マップ
大山（鳥取）,博労座ルート,博労座,大山（弥山）,220,195,環境省・大山登山コース
三瓶山,西の原登山口ルート,西の原登山口,三瓶山（男三瓶山）,160,120,三瓶山登山ガイドマップ
三方岩岳,三方岩駐車場ルート,三方岩駐車場,三方岩岳,70,50,YAMAP・三方岩岳標準CT
御在所岳,中登山道口ルート,中登山道口 御在所岳,御在所岳,150,131,YAMAP・中道標準CT
御在所岳,武平峠登山口ルート,武平峠登山口,御在所岳,90,95,YAMAP・武平峠標準CT
祖母山,神原登山口ルート,神原登山口,祖母山,240,227,YAMAP・神原登山口標準CT
霧島山（韓国岳）,大浪池登山口ルート,大浪池登山口,霧島山（韓国岳）,180,231,YAMAP・大浪池コース標準CT
櫛形山,池ノ茶屋登山口ルート,池ノ茶屋登山口,櫛形山,60,70,YAMAP・池の茶屋林道標準CT
笠ヶ岳（長野）,笠岳峠・笠ヶ岳登山口ルート,笠岳峠・笠ヶ岳登山口,笠ヶ岳（長野）,40,30,山と高原地図/YAMAP案内・往復約1時間
