mountain,course,from,to,oldEstimatedMinutes,confirmedMinutes,source,sourceType
岩手山,焼走りルート,焼走り登山口,岩手山,330,302,YAMAP 岩手山焼走りモデル,yamap
岩手山,焼走りルート,岩手山,焼走り登山口,230,205,YAMAP 岩手山焼走りモデル,yamap
守門岳,保久礼ルート,守門岳,保久礼登山口,200,159,YAMAP 保久礼-守門岳モデル,yamap
浅草岳,ネズモチ平駐車場ルート,浅草岳,ネズモチ平登山口駐車場,120,117,YAMAP ネズモチ平-浅草岳モデル,yamap
赤城山（黒檜山）,駒ヶ岳登山口・駒ヶ岳経由ルート,おのこ駐車場・駒ヶ岳登山口,赤城山（黒檜山）,120,127,YAMAP 赤城駒ヶ岳-黒檜山モデル,yamap
赤城山（黒檜山）,駒ヶ岳登山口・駒ヶ岳経由ルート,赤城山（黒檜山）,おのこ駐車場・駒ヶ岳登山口,80,99,YAMAP 赤城駒ヶ岳-黒檜山モデル,yamap
笠ヶ岳（長野）,笠岳峠・笠ヶ岳登山口ルート,笠ヶ岳（長野）,笠岳峠・笠ヶ岳登山口,20,25,YAMAP 笠ヶ岳モデル,yamap
富士山,御殿場ルート,御殿場口新五合目,富士山（剣ヶ峰）,510,503,YAMAP 富士山御殿場ルート,yamap
富士山,御殿場ルート,富士山（剣ヶ峰）,御殿場口新五合目,350,243,YAMAP 富士山御殿場ルート,yamap
白山,大白川・平瀬道ルート,大白川・平瀬道登山口,白山（御前峰）,340,318,YAMAP 平瀬道モデル,yamap
白山,大白川・平瀬道ルート,白山（御前峰）,大白川・平瀬道登山口,240,217,YAMAP 平瀬道モデル,yamap
三瓶山,北の原・姫逃池ルート,北の原・姫逃池登山口,三瓶山（男三瓶山）,120,111,YAMAP 姫逃池-男三瓶山モデル,yamap
三瓶山,北の原・姫逃池ルート,三瓶山（男三瓶山）,北の原・姫逃池登山口,60,86,YAMAP 姫逃池-男三瓶山モデル,yamap
