mountain,type,name,lat,lon,elevation,source
大雪山（旭岳）,hut,黒岳石室,43.695116,142.911033,1890,大雪山国立公園GPS位置情報
十勝岳,hut,上ホロカメットク避難小屋,43.406667,142.675000,1828,気象庁観測点位置情報
谷川岳,hut,谷川岳肩ノ小屋,36.833025,138.929708,1912,公開地図座標
槍ヶ岳,camp,ババ平（槍沢キャンプ場）,36.323490,137.675690,1990,OpenStreetMap公開座標
槍ヶ岳,pass,大曲（水俣乗越分岐）,36.330256,137.670564,2094,GPS公開記録
槍ヶ岳,pass,天狗原分岐,36.326580,137.659980,2348,OpenStreetMap公開座標
北岳・間ノ岳,peak,中白根山,35.658600,138.228300,3055,OpenStreetMap公開座標
甲斐駒ヶ岳,hut,北沢峠こもれび山荘,35.742580,138.213500,2036,OpenStreetMap公開座標
甲斐駒ヶ岳,peak,摩利支天,35.754500,138.239300,2820,OpenStreetMap公開座標
久住山,camp,坊ガツル,33.099667,131.262833,1234,気象庁観測点位置情報
